# JLPT N1 文法（起始題庫，之後可增補）
# 格式： 句型 | 讀音 | 中文意思 | 接續結構 | 例句 | 例句假名 | 例句中譯

～をもって |  | 「以～、憑藉～；於～（時間）」（正式） | 名詞＋をもって | 本日をもって閉店いたします。 | ほんじつをもってへいてんいたします。 | 本店於今日結束營業。
～んがために |  | 「為了～」（強烈目的・文語） | 動詞ない形（去ない）＋んがために | 勝たんがために手段を選ばない。 | かたんがためにしゅだんをえらばない。 | 為求勝不擇手段。
～や否や | ～やいなや | 「一～就立刻～」 | 動詞辭書形＋や否や | ベルが鳴るや否や、生徒は教室を飛び出した。 | ベルがなるやいなや、せいとはきょうしつをとびだした。 | 鐘一響學生就衝出教室。
～が早いか | ～がはやいか | 「剛一～就～」 | 動詞辭書形／た形＋が早いか | 席に着くが早いか、彼は話し始めた。 | せきにつくがはやいか、かれははなしはじめた。 | 他一坐下就開始說話。
～なり |  | 「一～就立刻～」（同主語・意外行為） | 動詞辭書形＋なり | 彼は帰ってくるなり、部屋に閉じこもった。 | かれはかえってくるなり、へやにとじこもった。 | 他一回來就把自己關在房裡。
～ところを |  | 「正當～的時候（打擾了）」（客套） | 動詞辭書形／ている＋ところを | お忙しいところを恐縮です。 | おいそがしいところをきょうしゅくです。 | 百忙之中打擾，實在抱歉。
～とはいえ |  | 「雖說～，但～」 | 普通形／名詞＋とはいえ | 春とはいえ、まだ肌寒い。 | はるとはいえ、まだはだざむい。 | 雖說是春天，還是有點冷。
～まじき |  | 「不該有的～」（強烈譴責） | 動詞辭書形＋まじき＋名詞 | 教師にあるまじき行為だ。 | きょうしにあるまじきこういだ。 | 是教師不該有的行為。
～ならいざ知らず | ～ならいざしらず | 「若是～還說得過去，但～」 | 名詞／普通形＋ならいざ知らず | 新人ならいざ知らず、ベテランがこのミスとは。 | しんじんならいざしらず、ベテランがこのミスとは。 | 若是新人也就罷了，老手竟犯這種錯。
～に至っては | ～にいたっては | 「至於～更是～」 | 名詞＋に至っては | 弟に至っては、返事すらしない。 | おとうとにいたっては、へんじすらしない。 | 至於弟弟，連回應都沒有。
～きわまりない |  | 「極其～、～至極」 | な形容詞語幹（＋なこと）＋きわまりない | 危険極まりない運転だった。 | きけんきわまりないうんてんだった。 | 是極其危險的駕駛。

# === 增補批次 1 ===
～ずにはおかない |  | 「必定會～、不～不罷休」 | 動詞ない形（去ない）＋ずにはおかない | その映画は観る者を感動させずにはおかない。 | そのえいがはみるものをかんどうさせずにはおかない。 | 那部電影必定會讓觀眾感動。
～ずにはいられない |  | 「不禁～、忍不住～」 | 動詞ない形（去ない）＋ずにはいられない | あの光景を見て、涙を流さずにはいられなかった。 | あのこうけいをみて、なみだをながさずにはいられなかった。 | 看到那幕，不禁落淚。
～を禁じ得ない | ～をきんじえない | 「不禁感到～」（書面） | 名詞＋を禁じ得ない | その知らせに驚きを禁じ得ない。 | そのしらせにおどろきをきんじえない。 | 對那個消息不禁感到震驚。
～に堪えない | ～にたえない | 「不堪～、不勝～」 | 名詞／動詞辭書形＋に堪えない | その報道は見るに堪えない。 | そのほうどうはみるにたえない。 | 那則報導令人不忍卒睹。
～に堪える | ～にたえる | 「經得起～、值得～」 | 名詞／動詞辭書形＋に堪える | 大人の鑑賞に堪える作品だ。 | おとなのかんしょうにたえるさくひんだ。 | 是經得起成人品味的作品。
～を余儀なくさせる | ～をよぎなくさせる | 「迫使～」 | 名詞＋を余儀なくさせる | 不況が事業の縮小を余儀なくさせた。 | ふきょうがじぎょうのしゅくしょうをよぎなくさせた。 | 不景氣迫使事業縮編。
～に至る | ～にいたる | 「到達～的地步」 | 動詞辭書形／名詞＋に至る | 長い議論の末、中止を決定するに至った。 | ながいぎろんのすえ、ちゅうしをけっていするにいたった。 | 經過長時間討論，最終決定中止。
～に至るまで | ～にいたるまで | 「甚至到～、直至～」 | 名詞＋に至るまで | 服装から言葉遣いに至るまで指導された。 | ふくそうからことばづかいにいたるまでしどうされた。 | 從服裝到用詞都被指導。
～をおいて |  | 「除了～（沒有別的）」 | 名詞＋をおいて | この仕事を任せられるのは彼をおいて他にいない。 | このしごとをまかせられるのはかれをおいてほかにいない。 | 能託付這工作的非他莫屬。
～ながらに／～ながらの |  | 「保持～的狀態、～著」 | 名詞／動詞ます形＋ながらの | 彼女は涙ながらに事情を語った。 | かのじょはなみだながらにじじょうをかたった。 | 她含淚訴說了原委。
～まみれ |  | 「滿是～、沾滿～」 | 名詞＋まみれ | 泥まみれになって働いた。 | どろまみれになってはたらいた。 | 渾身是泥地工作。
～ずくめ |  | 「清一色～、淨是～」 | 名詞＋ずくめ | 今年はいいことずくめだった。 | ことしはいいことずくめだった。 | 今年淨是好事。
～めく |  | 「有～的樣子、帶有～氣息」 | 名詞＋めく | ようやく春めいてきた。 | ようやくはるめいてきた。 | 終於有春天的氣息了。
～ごとし／～ごとく／～ごとき |  | 「如同～」（文語） | 名詞＋の＋ごとし | 光陰矢のごとし。 | こういんやのごとし。 | 光陰似箭。
～いかんだ |  | 「取決於～如何」 | 名詞（＋の）＋いかんだ | 成功するかは君の努力いかんだ。 | せいこうするかはきみのどりょくいかんだ。 | 能否成功取決於你的努力。
～たりとも |  | 「哪怕～也（不）」 | 一＋量詞＋たりとも | 一日たりとも忘れたことはない。 | いちにちたりともわすれたことはない。 | 沒有一天忘記過。
～であれ |  | 「即使是～、無論～」 | 名詞＋であれ | どんな理由であれ、暴力は許されない。 | どんなりゆうであれ、ぼうりょくはゆるされない。 | 無論什麼理由，暴力都不被容許。
～とあって |  | 「由於～（特殊情況）」 | 普通形／名詞＋とあって | 大型連休とあって、空港は混雑している。 | おおがたれんきゅうとあって、くうこうはこんざつしている。 | 由於是大型連假，機場很擁擠。
～とあれば |  | 「如果是～的話（就）」 | 普通形／名詞＋とあれば | 子供のためとあれば、何でもする。 | こどものためとあれば、なんでもする。 | 如果是為了孩子，什麼都願意做。
～ものを |  | 「本來～卻…（帶埋怨）」 | 普通形（な形＋な）＋ものを | 言ってくれれば手伝ったものを。 | いってくれればてつだったものを。 | 你說一聲我就幫忙了嘛。
～とは |  | 「竟然～、居然～」（驚訝） | 普通形／名詞＋とは | 彼が犯人だったとは、信じられない。 | かれがはんにんだったとは、しんじられない。 | 他竟然是犯人，難以置信。
～始末だ | ～しまつだ | 「落得～的下場」 | 動詞辭書形＋始末だ | 準備を怠り、当日慌てる始末だ。 | じゅんびをおこたり、とうじつあわてるしまつだ。 | 疏於準備，落得當天手忙腳亂。
～たところで |  | 「即使～也（無濟於事）」 | 動詞た形＋ところで | 今から急いだところで間に合わない。 | いまからいそいだところでまにあわない。 | 現在趕也來不及了。
～かたがた |  | 「順便～、兼作～（鄭重）」 | 名詞＋かたがた | お礼かたがたご報告申し上げます。 | おれいかたがたごほうこくもうしあげます。 | 藉致謝之便向您報告。
～かたわら |  | 「一邊～一邊…（長期兼做）」 | 名詞の／動詞辭書形＋かたわら | 彼は会社勤めのかたわら小説を書いている。 | かれはかいしゃづとめのかたわらしょうせつをかいている。 | 他一邊上班一邊寫小說。
～がてら |  | 「順便～」 | 名詞／動詞ます形＋がてら | 散歩がてら買い物をしてきた。 | さんぽがてらかいものをしてきた。 | 散步順便買了東西。
～そばから |  | 「才剛～就又…」 | 動詞辭書形／た形＋そばから | 片付けるそばから子どもが散らかす。 | かたづけるそばからこどもがちらかす。 | 才剛收拾好孩子就又弄亂。
～なり～なり |  | 「～也好～也好（舉例建議）」 | 名詞／動詞辭書形＋なり | 電話なりメールなり連絡してください。 | でんわなりメールなりれんらくしてください。 | 打電話也好寄信也好，請聯絡一下。
～であれ～であれ |  | 「不論是～還是～」 | 名詞＋であれ＋名詞＋であれ | 大人であれ子どもであれ規則は同じだ。 | おとなであれこどもであれきそくはおなじだ。 | 不論大人小孩規則都一樣。
～からある／～からする |  | 「多達～（強調數量之大）」 | 數量詞＋からある | 百キロからある荷物を運んだ。 | ひゃくキロからあるにもつをはこんだ。 | 搬運了重達一百公斤的行李。
～に即して | ～にそくして | 「依照～（事實・規定）」 | 名詞＋に即して | 現状に即して計画を見直す。 | げんじょうにそくしてけいかくをみなおす。 | 依照現狀重新檢討計畫。
～に照らして | ～にてらして | 「對照～來判斷」 | 名詞＋に照らして | 法律に照らして処分を決める。 | ほうりつにてらしてしょぶんをきめる。 | 對照法律決定處分。
～に難くない | ～にかたくない | 「不難～（想像等）」 | 名詞／動詞辭書形＋に難くない | 彼の気持ちは想像に難くない。 | かれのきもちはそうぞうにかたくない。 | 他的心情不難想像。
～を踏まえて | ～をふまえて | 「基於～、考量～之後」 | 名詞＋を踏まえて | 結果を踏まえて方針を決めた。 | けっかをふまえてほうしんをきめた。 | 基於結果決定了方針。
～はおろか |  | 「別說～，連…也」 | 名詞＋はおろか | 彼は海外はおろか、県外にも出たことがない。 | かれはかいがいはおろか、けんがいにもでたことがない。 | 他別說出國，連鄰縣都沒去過。
～もさることながら |  | 「～固然如此，更…」 | 名詞＋もさることながら | 味もさることながら、盛り付けが美しい。 | あじもさることながら、もりつけがうつくしい。 | 味道自不待言，擺盤更是漂亮。
～といえども |  | 「即使是～也…」 | 名詞／普通形＋といえども | 専門家といえども間違うことはある。 | せんもんかといえどもまちがうことはある。 | 即使是專家也會出錯。
～といったらない |  | 「～得不得了（程度極端）」 | 名詞／形容詞＋といったらない | あの時の悔しさといったらなかった。 | あのときのくやしさといったらなかった。 | 當時的懊悔真是難以形容。
～の至り | ～のいたり | 「不勝～（極致，正式）」 | 名詞＋の至り | 受賞できて光栄の至りです。 | じゅしょうできてこうえいのいたりです。 | 能夠獲獎不勝光榮。
～の極み | ～のきわみ | 「～之極、極度的～」 | 名詞＋の極み | 連日の残業で疲労の極みに達した。 | れんじつのざんぎょうでひろうのきわみにたっした。 | 連日加班，疲勞到了極點。
～限りだ | ～かぎりだ | 「非常～（感情強烈）」 | 形容詞＋限りだ | 一人で行くとは心細い限りだ。 | ひとりでいくとはこころぼそいかぎりだ。 | 要一個人去實在令人不安。
～てやまない |  | 「衷心～不已」 | 動詞て形＋やまない | ご成功をお祈りしてやみません。 | ごせいこうをおいのりしてやみません。 | 衷心祝您成功。
～てはばからない |  | 「毫不顧忌地～」 | 動詞て形＋はばからない | 彼は自分が一番だと公言してはばからない。 | かれはじぶんがいちばんだとこうげんしてはばからない。 | 他毫不避諱地公開宣稱自己最強。
～を顧みず | ～をかえりみず | 「不顧～」 | 名詞＋を顧みず | 危険を顧みず人を助けた。 | きけんをかえりみずひとをたすけた。 | 不顧危險救了人。
～たる者 | ～たるもの | 「身為～的人就應該…」 | 名詞＋たる者 | 教師たる者、模範であるべきだ。 | きょうしたるもの、もはんであるべきだ。 | 身為教師，就該以身作則。
～ともあろう |  | 「堂堂～竟然…」 | 名詞＋ともあろう | 大臣ともあろう人が失言するとは。 | だいじんともあろうひとがしつげんするとは。 | 堂堂一位大臣竟然失言。
～じみる |  | 「帶有～的樣子（多為負面）」 | 名詞＋じみる | 彼の言い方は説教じみている。 | かれのいいかたはせっきょうじみている。 | 他的說法帶著說教意味。
～ずには済まない | ～ずにはすまない | 「不～不行、勢必得～」 | 動詞ない形（去ない）＋ずには済まない | 壊したのだから弁償せずには済まない。 | こわしたのだからべんしょうせずにはすまない。 | 既然弄壞了就非賠不可。
～ではあるまいし |  | 「又不是～」 | 名詞＋ではあるまいし | 子どもではあるまいし、自分でやりなさい。 | こどもではあるまいし、じぶんでやりなさい。 | 又不是小孩，自己做。
～ないものでもない |  | 「也不是不能～」 | 動詞ない形＋ものでもない | 条件次第では引き受けないものでもない。 | じょうけんしだいではひきうけないものでもない。 | 看條件也不是不能接下。
～なくもない |  | 「也不是沒有～」 | 動詞ない形（去い）＋くもない | 言いたいことは分からなくもない。 | いいたいことはわからなくもない。 | 你想說的我也不是不懂。
～ないまでも |  | 「即使沒到～的程度，至少…」 | 動詞ない形＋までも | 毎日とは言わないまでも、週に一度は運動したい。 | まいにちとはいわないまでも、しゅうにいちどはうんどうしたい。 | 就算做不到每天，至少想一週運動一次。
～までのことだ |  | 「大不了就～」 | 動詞辭書形＋までのことだ | 断られたら諦めるまでのことだ。 | ことわられたらあきらめるまでのことだ。 | 被拒絕的話大不了就放棄。
～ばこそ |  | 「正因為～才…」 | 動詞ば形＋こそ | 君を信じればこそ任せたのだ。 | きみをしんじればこそまかせたのだ。 | 正因為相信你才交給你。
～こそすれ |  | 「只會～，絕不…」 | 名詞／動詞ます形＋こそすれ | 感謝こそすれ、恨むことはない。 | かんしゃこそすれ、うらむことはない。 | 只有感謝，絕不怨恨。
～たら最後 | ～たらさいご | 「一旦～就完了」 | 動詞た形＋ら最後 | 彼が話し始めたら最後、止まらない。 | かれがはなしはじめたらさいご、とまらない。 | 他一旦開口就停不下來。
～にして |  | 「到了～才…／既是～又是～」 | 名詞＋にして | 六十歳にして初めて海外へ行った。 | ろくじゅっさいにしてはじめてかいがいへいった。 | 到了六十歲才第一次出國。
～ならまだしも |  | 「如果是～還說得過去」 | 名詞／普通形＋ならまだしも | 一度ならまだしも、三度も遅刻とは。 | いちどならまだしも、さんどもちこくとは。 | 一次還說得過去，竟然遲到三次。
～はさておき |  | 「～先擱一邊」 | 名詞＋はさておき | 冗談はさておき、本題に入ろう。 | じょうだんはさておき、ほんだいにはいろう。 | 玩笑先不說，進入正題吧。
～に当たらない | ～にあたらない | 「不值得～、用不著～」 | 動詞辭書形＋に当たらない | その程度なら驚くに当たらない。 | そのていどならおどろくにあたらない。 | 那種程度用不著驚訝。
～には及ばない | ～にはおよばない | 「不必～、比不上～」 | 動詞辭書形／名詞＋には及ばない | わざわざ来るには及びません。 | わざわざくるにはおよびません。 | 不必特地前來。
～べからず／～べからざる |  | 「不可～（告示・書面）」 | 動詞辭書形＋べからず | 芝生に入るべからず。 | しばふにはいるべからず。 | 禁止進入草坪。
～べくもない |  | 「根本無法～」 | 動詞辭書形＋べくもない | 結果は知るべくもなかった。 | けっかはしるべくもなかった。 | 當時根本無從得知結果。
～んばかり |  | 「幾乎要～的樣子」 | 動詞ない形（去ない）＋んばかり | 泣かんばかりの表情で訴えた。 | なかんばかりのひょうじょうでうったえた。 | 以幾乎要哭出來的表情訴說。
～とばかりに |  | 「像在說～似的」 | 普通形／引用＋とばかりに | 早く帰れとばかりに時計を見た。 | はやくかえれとばかりにとけいをみた。 | 像在催我快回去似地看了看錶。
～と思いきや | ～とおもいきや | 「本以為～沒想到…」 | 普通形＋と思いきや | 簡単だと思いきや、意外に難しかった。 | かんたんだとおもいきや、いがいにむずかしかった。 | 本以為很簡單，沒想到意外地難。
～ともなく／～ともなしに |  | 「無意間～、漫不經心地～」 | 動詞辭書形＋ともなく | 見るともなく窓の外を眺めていた。 | みるともなくまどのそとをながめていた。 | 漫不經心地望著窗外。
～を境に | ～をさかいに | 「以～為分界（前後轉變）」 | 名詞＋を境に | 入院を境に生活習慣を改めた。 | にゅういんをさかいにせいかつしゅうかんをあらためた。 | 以住院為分界改變了生活習慣。
～を限りに | ～をかぎりに | 「以～為最後一次」 | 時間名詞＋を限りに | 今日を限りに煙草をやめる。 | きょうをかぎりにたばこをやめる。 | 從今天起戒菸。
～こととて |  | 「因為是～（理由，鄭重）」 | 名詞の／普通形＋こととて | 慣れぬこととて失礼いたしました。 | なれぬこととてしつれいいたしました。 | 因為還不熟悉，失禮了。
～と相まって | ～とあいまって | 「與～相互作用」 | 名詞＋と相まって | 好天と相まって客足が伸びた。 | こうてんとあいまってきゃくあしがのびた。 | 加上天氣好，來客數增加了。
～もそこそこに |  | 「草草結束～就…」 | 名詞＋もそこそこに | 食事もそこそこに家を出た。 | しょくじもそこそこにいえをでた。 | 草草吃完飯就出門了。
～をいいことに |  | 「趁著～（帶不正當意味）」 | 名詞／普通形の＋をいいことに | 親が留守なのをいいことに遊び回った。 | おやがるすなのをいいことにあそびまわった。 | 趁父母不在到處玩。
～ことなしに |  | 「不～就…」 | 動詞辭書形＋ことなしに | 努力することなしに成功はない。 | どりょくすることなしにせいこうはない。 | 不努力就不會成功。
～なくして |  | 「沒有～就…」 | 名詞＋なくして | 支援なくしては続けられない。 | しえんなくしてはつづけられない。 | 沒有支援就無法繼續下去。
～ゆえに／～がゆえに |  | 「因為～（書面語）」 | 名詞／普通形＋ゆえに | 若さゆえに無茶をした。 | わかさゆえにむちゃをした。 | 因為年輕而胡來。
～あっての |  | 「有～才有…」 | 名詞＋あっての | 客あっての商売だ。 | きゃくあってのしょうばいだ。 | 有客人才有生意。
～ばそれまでだ |  | 「如果～就全完了」 | 動詞ば形＋それまでだ | どんな名機も壊れればそれまでだ。 | どんなめいきもこわれればそれまでだ。 | 再好的機器壞了也就沒用了。
～といったところだ |  | 「頂多～的程度」 | 名詞／數量＋といったところだ | 収穫は例年の半分といったところだ。 | しゅうかくはれいねんのはんぶんといったところだ。 | 收成頂多是往年的一半。
～ぐるみ |  | 「整個～一起」 | 名詞＋ぐるみ | 町ぐるみで祭りを支える。 | まちぐるみでまつりをささえる。 | 全鎮一起支撐這個祭典。
～きっての |  | 「～當中首屈一指的」 | 名詞＋きっての | 彼は当代きっての名優だ。 | かれはとうだいきってのめいゆうだ。 | 他是當代首屈一指的名演員。
～この上ない | ～このうえない | 「再～不過了」 | 形容詞／名詞＋この上ない | 迷惑この上ない話だ。 | めいわくこのうえないはなしだ。 | 這事再擾人不過了。
～に足りない | ～にたりない | 「不值得～、微不足道」 | 動詞辭書形＋に足りない | 取るに足りない問題だ。 | とるにたりないもんだいだ。 | 是微不足道的問題。
～てからというもの |  | 「自從～以來就一直…」 | 動詞て形＋からというもの | 引っ越してからというもの、体調がいい。 | ひっこしてからというもの、たいちょうがいい。 | 自從搬家以來身體就一直很好。
～というもの |  | 「這～期間一直（強調時間長）」 | 期間名詞＋というもの | この一年というもの、休みがなかった。 | このいちねんというもの、やすみがなかった。 | 這一年來都沒休息過。
～にあって |  | 「處於～的情況下」 | 名詞＋にあって | 非常時にあって冷静さを失わない。 | ひじょうじにあってれいせいさをうしなわない。 | 處於非常時期仍不失冷靜。
～ずじまい |  | 「結果終究沒能～」 | 動詞ない形（去ない）＋ずじまい | 会いたかったが、結局会えずじまいだった。 | あいたかったが、けっきょくあえずじまいだった。 | 雖然想見，結果終究沒能見到。
～こそあれ |  | 「雖有～但…」 | 名詞＋こそあれ | 多少の差こそあれ、内容は同じだ。 | たしょうのさこそあれ、ないようはおなじだ。 | 雖有些許差異，內容是相同的。
～に忍びない | ～にしのびない | 「不忍心～」 | 動詞辭書形＋に忍びない | 古い写真は捨てるに忍びない。 | ふるいしゃしんはすてるにしのびない。 | 舊照片不忍心丟掉。
～てしかるべきだ |  | 「理應～」 | 動詞て形＋しかるべきだ | 説明があってしかるべきだ。 | せつめいがあってしかるべきだ。 | 理應要有個說明。
～を経て | ～をへて | 「經過～」 | 名詞＋を経て | 長い交渉を経て合意に達した。 | ながいこうしょうをへてごういにたっした。 | 經過長期談判達成了共識。
～はずみに |  | 「～的一瞬間（無意中）」 | 動詞た形＋はずみに | 転んだはずみに眼鏡を落とした。 | ころんだはずみにめがねをおとした。 | 跌倒的瞬間掉了眼鏡。
～折に | ～おりに | 「～之際（鄭重）」 | 名詞の／動詞辭書形＋折に | お近くへお越しの折にはお寄りください。 | おちかくへおこしのおりにはおよりください。 | 來附近時請順道來坐坐。
～ようによっては |  | 「看怎麼～，也可以說…」 | 動詞ます形＋ようによっては | 考えようによっては幸運だった。 | かんがえようによってはこううんだった。 | 換個角度想也算幸運。
～ときたら |  | 「說到～（多含不滿）」 | 名詞＋ときたら | うちの犬ときたら、全然言うことを聞かない。 | うちのいぬときたら、ぜんぜんいうことをきかない。 | 說到我家那隻狗，完全不聽話。
～にもまして |  | 「比～更加」 | 名詞＋にもまして | 今年は去年にもまして暑い。 | ことしはきょねんにもましてあつい。 | 今年比去年更熱。
