# JLPT N5 文法   格式： 句型 | 讀音(可空) | 中文意思 | 接續結構 | 例句 | 例句假名 | 例句中譯

～は～です |  | 「～是～」（斷定句） | 名詞＋は＋名詞＋です | わたしは学生です。 | わたしはがくせいです。 | 我是學生。
～前に | ～まえに | 「在～之前」 | 動詞辭書形／名詞＋の＋前に | 寝る前に歯を磨きます。 | ねるまえにはをみがきます。 | 睡前刷牙。
～後で | ～あとで | 「在～之後」 | 動詞た形／名詞＋の＋後で | 仕事の後で買い物します。 | しごとのあとでかいものします。 | 下班後去買東西。
～とき |  | 「～的時候」 | 動詞・形容詞・名詞の＋とき | 子供のとき、よく泳ぎました。 | こどものとき、およぎました。 | 小時候常游泳。
～てもいいです |  | 「可以～」（許可） | 動詞て形＋もいいです | ここに座ってもいいですか。 | ここにすわってもいいですか。 | 可以坐這裡嗎？
～てはいけません |  | 「不可以～」（禁止） | 動詞て形＋はいけません | ここでタバコを吸ってはいけません。 | ここでタバコをすってはいけません。 | 這裡不可以抽菸。
～なければなりません |  | 「必須～」（義務） | 動詞ない形（去ない）＋なければなりません | 明日までに出さなければなりません。 | あしたまでにださなければなりません。 | 明天前必須交出。
～なくてもいいです |  | 「不～也可以」 | 動詞ない形（去ない）＋なくてもいいです | 今日は来なくてもいいです。 | きょうはこなくてもいいです。 | 今天不來也沒關係。
～が、～ |  | 「雖然～但是～」（逆接） | 句子＋が、＋句子 | 高いですが、おいしいです。 | たかいですが、おいしいです。 | 雖然貴，但很好吃。
～から（原因） |  | 「因為～」表示理由 | 句子（普通形・です／ます）＋から | 寒いから、窓を閉めます。 | さむいから、まどをしめます。 | 因為冷，所以關窗。
～ね |  | 「～吧、～呢」表示確認或同意 | 句子＋ね | 今日はいい天気ですね。 | きょうはいいてんきですね。 | 今天天氣真好呢。
～よ |  | 「～喔」表示提醒或告知新資訊 | 句子＋よ | もう時間ですよ。 | もうじかんですよ。 | 已經到時間囉。
～でしょう |  | 「～吧」表示推測 | 名詞・形容詞・動詞普通形＋でしょう | 明日は雨でしょう。 | あしたはあめでしょう。 | 明天大概會下雨吧。
まだ～ていません |  | 「還沒～」 | まだ＋動詞て形＋いません | まだ宿題をしていません。 | まだしゅくだいをしていません。 | 還沒寫作業。
もう～ました |  | 「已經～了」 | もう＋動詞ました | もう昼ご飯を食べました。 | もうひるごはんをたべました。 | 已經吃過午餐了。


# ===== N5 文法補充（基礎助詞、指示詞、常用句式）=====

# --- 助詞 ---
～と（並列） |  | 「和」（名詞並列，完全列舉） | 名詞＋と＋名詞 | パンと牛乳を買いました。 | パンとぎゅうにゅうをかいました。 | 買了麵包和牛奶。
～や～など |  | 「～啦～之類的」（部分列舉） | 名詞＋や＋名詞＋など | 机の上に本やノートなどがあります。 | つくえのうえにほんやノートなどがあります。 | 桌上有書和筆記本之類的東西。
～か（選擇） |  | 「或是」（二選一） | 名詞＋か＋名詞 | コーヒーかお茶を飲みます。 | コーヒーかおちゃをのみます。 | 喝咖啡或茶。
～に（對象） |  | 動作的對象「向～、跟～」 | 名詞（人）＋に＋動詞 | 友達に電話をかけます。 | ともだちにでんわをかけます。 | 打電話給朋友。
～に（目的） |  | 「去做～」表移動的目的 | 動詞ます形／動作性名詞＋に＋行く／来る／帰る | デパートへ買い物に行きます。 | デパートへかいものにいきます。 | 去百貨公司買東西。
～を（離開・經過） |  | 表示離開或經過的場所 | 場所＋を＋出る／降りる／渡る／散歩する | 毎朝七時に家を出ます。 | まいあさしちじにいえをでます。 | 每天早上七點出門。
～から（起點） |  | 「從～」表起點（時間、場所、來源） | 名詞＋から | この電車は東京から来ました。 | このでんしゃはとうきょうからきました。 | 這班電車從東京來的。
～までに |  | 「在～之前（完成）」表期限 | 名詞（時間）＋までに | 五時までに帰ってください。 | ごじまでにかえってください。 | 請在五點前回來。
～ぐらい |  | 「大約～」表概數 | 數量詞＋ぐらい／くらい | 駅まで十分ぐらいかかります。 | えきまでじゅっぷんぐらいかかります。 | 到車站大約要十分鐘。
～だけ |  | 「只有～」 | 名詞／數量詞＋だけ | 水は一本だけ買いました。 | みずはいっぽんだけかいました。 | 水只買了一瓶。
～しか～ない |  | 「只有～」（帶「不夠」語感，後接否定） | 名詞／數量詞＋しか＋否定 | 千円しかありません。 | せんえんしかありません。 | 我只有一千日圓。
～ずつ |  | 「各～、每次～」 | 數量詞＋ずつ | 一人に三枚ずつ配ります。 | ひとりにさんまいずつくばります。 | 每人各發三張。
～でも（例示） |  | 「～之類的吧」提議時委婉舉例 | 名詞＋でも | お茶でも飲みませんか。 | おちゃでものみませんか。 | 要不要喝個茶什麼的？
～も（數量強調） |  | 「竟然有～之多」 | 數量詞＋も | 昨日は十時間も寝ました。 | きのうはじゅうじかんもねました。 | 昨天竟然睡了十個小時。
～の（名詞化） |  | 把句子變成名詞「～這件事」 | 動詞普通形＋の | 音楽を聞くのが好きです。 | おんがくをきくのがすきです。 | 我喜歡聽音樂。

# --- 疑問詞＋か／も ---
何か・誰か・どこか |  | 「某個～」不特定的人事物 | 疑問詞＋か | 部屋に誰かいますか。 | へやにだれかいますか。 | 房間裡有人嗎？
何も・誰も・どこも～ない |  | 「什麼都不～」全面否定 | 疑問詞＋も＋否定 | 冷蔵庫には何もありません。 | れいぞうこにはなにもありません。 | 冰箱裡什麼都沒有。
いつも・よく・時々・あまり・全然 |  | 頻率副詞（由高到低） | 副詞＋動詞（あまり／全然接否定） | 私はあまりテレビを見ません。 | わたしはあまりテレビをみません。 | 我不太看電視。

# --- 指示詞 ---
この・その・あの・どの |  | 連體指示詞「這個～／那個～」 | この／その／あの／どの＋名詞 | この本はとても面白いです。 | このほんはとてもおもしろいです。 | 這本書非常有趣。
こんな・そんな・あんな・どんな |  | 「這樣的～／什麼樣的～」 | こんな／そんな／あんな／どんな＋名詞 | どんな音楽が好きですか。 | どんなおんがくがすきですか。 | 你喜歡什麼樣的音樂？

# --- 常用表達 ---
～はどうですか |  | 「～如何？」詢問感想或提議 | 名詞＋はどうですか | 日本の生活はどうですか。 | にほんのせいかつはどうですか。 | 在日本的生活如何？
～をください |  | 「請給我～」 | 名詞＋をください | このりんごを三つください。 | このりんごをみっつください。 | 請給我三個這種蘋果。
～をお願いします |  | 「麻煩你～」比ください更禮貌 | 名詞＋をお願いします | チェックインをお願いします。 | チェックインをおねがいします。 | 麻煩幫我辦入住。
～ましょうか |  | 「我來～好嗎？」提議幫忙 | 動詞ます形＋ましょうか | 荷物を持ちましょうか。 | にもつをもちましょうか。 | 我幫你拿行李好嗎？
～ないで |  | 「不做～就（做別的）」 | 動詞ない形＋で | 朝ご飯を食べないで学校へ行きました。 | あさごはんをたべないでがっこうへいきました。 | 沒吃早餐就去學校了。
～て、～て（順序） |  | 「先～然後～」動作依序發生 | 動詞て形＋、～ | 朝起きて、顔を洗って、ご飯を食べます。 | あさおきて、かおをあらって、ごはんをたべます。 | 早上起床、洗臉、然後吃飯。
～くなる・～になる |  | 「變得～」狀態變化 | い形容詞＋くなる／な形容詞・名詞＋になる | 日本語が上手になりました。 | にほんごがじょうずになりました。 | 日文變厲害了。
～くする・～にする |  | 「把～弄成～」人為改變 | い形容詞＋くする／な形容詞・名詞＋にする | 部屋をきれいにします。 | へやをきれいにします。 | 把房間弄乾淨。
～にします（決定） |  | 「我要～」點餐或選擇時 | 名詞＋にします | 私はカレーにします。 | わたしはカレーにします。 | 我要咖哩。
～が上手です・～が下手です |  | 「擅長／不擅長～」 | 名詞＋が＋上手です／下手です | 姉は料理が上手です。 | あねはりょうりがじょうずです。 | 姊姊很會做菜。
～が好きです・～が嫌いです |  | 「喜歡／討厭～」 | 名詞＋が＋好きです／嫌いです | 私は魚が好きです。 | わたしはさかながすきです。 | 我喜歡魚。
～が分かります |  | 「懂得～」（用 が 不用 を） | 名詞＋が分かります | 少し日本語が分かります。 | すこしにほんごがわかります。 | 我懂一點日文。
～と同じです |  | 「和～一樣」 | 名詞＋と同じです | この本は私のと同じです。 | このほんはわたしのとおなじです。 | 這本書和我的一樣。
～中（じゅう）・～中（ちゅう） |  | 「整個～／～期間中」 | 名詞＋中 | 一日中、家で本を読んでいました。 | いちにちじゅう、いえでほんをよんでいました。 | 一整天都在家看書。
～目（じゅんばん） |  | 「第～個」序數 | 數量詞＋目 | 二つ目の角を右に曲がってください。 | ふたつめのかどをみぎにまがってください。 | 請在第二個轉角右轉。
～んです |  | 「是因為～」說明理由或強調 | 普通形（な形・名詞＋な）＋んです | どうして遅れたんですか。 | どうしておくれたんですか。 | 你為什麼遲到了呢？
～でしょうか |  | 「～呢？」比ですか更委婉的疑問 | 普通形／名詞＋でしょうか | この電車は東京へ行くでしょうか。 | このでんしゃはとうきょうへいくでしょうか。 | 這班電車是往東京的嗎？
～ないといけません |  | 「不～不行」＝必須 | 動詞ない形（去い）＋といけません | 薬を飲まないといけません。 | くすりをのまないといけません。 | 必須吃藥。
～く・～に（副詞化） |  | 形容詞修飾動詞時的變化 | い形容詞＋く／な形容詞＋に＋動詞 | もっと大きく書いてください。 | もっとおおきくかいてください。 | 請寫大一點。
～という名前です |  | 「叫做～」 | 名詞＋という名前です | この花は桜という名前です。 | このはなはさくらというなまえです。 | 這種花叫做櫻花。
～は～が～です |  | 大主題＋小主語的雙主語句 | 名詞は＋名詞が＋形容詞です | 象は鼻が長いです。 | ぞうははながながいです。 | 大象鼻子很長。
～はまだですか |  | 「～還沒好嗎？」催促 | 名詞＋はまだですか | 料理はまだですか。 | りょうりはまだですか。 | 菜還沒好嗎？
