# JLPT N4 單字   格式： 漢字 | 假名 | 中文釋義 | 詞性 | 例句 | 例句假名 | 例句中譯

# --- 名詞：生活・社會 ---
用事 | ようじ | 事情、要事 | 名詞 | 今日は用事があります。 | きょうはようじがあります。 | 今天有事。
翻訳 | ほんやく | 翻譯 | 名詞 | この本を翻訳しました。 | このほんをほんやくしました。 | 翻譯了這本書。
発表 | はっぴょう | 發表 | 名詞 | 来週、研究を発表します。 | らいしゅう、けんきゅうをはっぴょうします。 | 下週發表研究。
講義 | こうぎ | 講課 | 名詞 | 講義が難しかったです。 | こうぎがむずかしかったです。 | 課程很難。
成績 | せいせき | 成績 | 名詞 | 成績が上がりました。 | せいせきがあがりました。 | 成績進步了。
宿題 | しゅくだい | 作業 | 名詞 | 宿題を忘れました。 | しゅくだいをわすれました。 | 忘了寫作業。

# --- 名詞：其他 ---
祖父 | そふ | （我的）祖父 | 名詞 | 祖父は八十歳です。 | そふははちじゅっさいです。 | 我祖父八十歲。
祖母 | そぼ | （我的）祖母 | 名詞 | 祖母は畑で野菜を作ります。 | そぼははたけでやさいをつくります。 | 我祖母在田裡種菜。
主人 | しゅじん | （我）先生、老闆 | 名詞 | 主人は出張中です。 | しゅじんはしゅっちょうちゅうです。 | 我先生出差中。
妻 | つま | （我）妻子 | 名詞 | 妻と旅行に行きます。 | つまとりょこうにいきます。 | 和太太去旅行。
近所 | きんじょ | 附近、鄰居 | 名詞 | 近所にスーパーができました。 | きんじょにスーパーができました。 | 附近開了超市。
郊外 | こうがい | 郊外 | 名詞 | 郊外に引っ越しました。 | こうがいにひっこしました。 | 搬到郊外了。
景色 | けしき | 景色 | 名詞 | 山の上の景色は最高でした。 | やまのうえのけしきはさいこうでした。 | 山頂的景色棒極了。
道具 | どうぐ | 工具 | 名詞 | 掃除の道具を貸してください。 | そうじのどうぐをかしてください。 | 請借我打掃工具。
機械 | きかい | 機器 | 名詞 | この機械の使い方が分かりません。 | このきかいのつかいかたがわかりません。 | 我不會用這台機器。
故障 | こしょう | 故障 | 名詞 | エレベーターが故障しています。 | エレベーターがこしょうしています。 | 電梯故障了。
事故 | じこ | 事故 | 名詞 | 交通事故を見ました。 | こうつうじこをみました。 | 看到了車禍。
火事 | かじ | 火災 | 名詞 | 昨夜、近くで火事がありました。 | さくや、ちかくでかじがありました。 | 昨晚附近發生火災。
地震 | じしん | 地震 | 名詞 | 朝、大きな地震がありました。 | あさ、おおきなじしんがありました。 | 早上發生了大地震。
台風 | たいふう | 颱風 | 名詞 | 台風で電車が止まりました。 | たいふうででんしゃがとまりました。 | 因颱風電車停駛。
髭 | ひげ | 鬍子 | 名詞 | 毎朝ひげをそります。 | まいあさひげをそります。 | 每天早上刮鬍子。
指 | ゆび | 手指 | 名詞 | 指を怪我しました。 | ゆびをけがしました。 | 手指受傷了。
血 | ち | 血 | 名詞 | 傷から血が出ています。 | きずからちがでています。 | 傷口在流血。
熱 | ねつ | 發燒 | 名詞 | 熱があるので休みます。 | ねつがあるのでやすみます。 | 因為發燒所以請假。
薬 | くすり | 藥 | 名詞 | 食後に薬を飲みます。 | しょくごにくすりをのみます。 | 飯後吃藥。
怪我 | けが | 受傷 | 名詞 | 転んで怪我をしました。 | ころんでけがをしました。 | 跌倒受了傷。

# --- 動詞：一段・五段 ---
出発する | しゅっぱつする | 出發 | 動詞 | 朝八時に出発します。 | あさはちじにしゅっぱつします。 | 早上八點出發。
到着する | とうちゃくする | 抵達 | 動詞 | 電車が駅に到着しました。 | でんしゃがえきにとうちゃくしました。 | 電車到站了。
用意する | よういする | 準備 | 動詞 | お金を用意しておきます。 | おかねをよういしておきます。 | 事先備好錢。
片付ける | かたづける | 收拾 | 動詞 | 部屋を片付けました。 | へやをかたづけました。 | 收拾了房間。
捨てる | すてる | 丟棄 | 動詞 | ごみを捨ててください。 | ごみをすててください。 | 請把垃圾丟掉。
拾う | ひろう | 撿 | 動詞 | 道でお金を拾いました。 | みちでおかねをひろいました。 | 在路上撿到錢。
運ぶ | はこぶ | 搬運 | 動詞 | 荷物を二階に運びます。 | にもつをにかいにはこびます。 | 把行李搬到二樓。
届ける | とどける | 送達、送交 | 動詞 | 忘れ物を届けました。 | わすれものをとどけました。 | 把失物送去了。
送る | おくる | 寄、送 | 動詞 | 荷物を実家に送ります。 | にもつをじっかにおくります。 | 把行李寄回老家。
迎える | むかえる | 迎接 | 動詞 | 空港で友達を迎えます。 | くうこうでともだちをむかえます。 | 到機場接朋友。
訪ねる | たずねる | 拜訪 | 動詞 | 先生の家を訪ねました。 | せんせいのいえをたずねました。 | 拜訪了老師家。
誘う | さそう | 邀約 | 動詞 | 友達を映画に誘いました。 | ともだちをえいがにさそいました。 | 約朋友去看電影。
断る | ことわる | 拒絕 | 動詞 | 残念ですが、お誘いを断りました。 | ざんねんですが、おさそいをことわりました。 | 很遺憾，我婉拒了邀請。
謝る | あやまる | 道歉 | 動詞 | 遅れたことを謝りました。 | おくれたことをあやまりました。 | 為遲到道了歉。
褒める | ほめる | 稱讚 | 動詞 | 先生に褒められました。 | せんせいにほめられました。 | 被老師稱讚了。
叱る | しかる | 責罵 | 動詞 | 母に叱られました。 | ははにしかられました。 | 被媽媽罵了。
喧嘩する | けんかする | 吵架 | 動詞 | 弟と喧嘩しました。 | おとうととけんかしました。 | 和弟弟吵架了。
慣れる | なれる | 習慣 | 動詞 | 新しい仕事に慣れました。 | あたらしいしごとになれました。 | 習慣了新工作。
決める | きめる | 決定 | 動詞 | 旅行の日を決めました。 | りょこうのひをきめました。 | 決定了旅行的日期。
比べる | くらべる | 比較 | 動詞 | 二つの店を比べます。 | ふたつのみせをくらべます。 | 比較兩家店。
選ぶ | えらぶ | 選擇 | 動詞 | 好きな色を選んでください。 | すきないろをえらんでください。 | 請選喜歡的顏色。
調べる | しらべる | 調查、查詢 | 動詞 | 電車の時間を調べます。 | でんしゃのじかんをしらべます。 | 查電車時間。
探す | さがす | 尋找 | 動詞 | 仕事を探しています。 | しごとをさがしています。 | 正在找工作。
見つける | みつける | 找到 | 動詞 | 財布を見つけました。 | さいふをみつけました。 | 找到了錢包。
なくす | なくす | 弄丟 | 動詞 | 大切な鍵をなくしました。 | たいせつなかぎをなくしました。 | 弄丟了重要的鑰匙。
忘れる | わすれる | 忘記 | 動詞 | 傘を電車に忘れました。 | かさをでんしゃにわすれました。 | 把傘忘在電車上了。
思い出す | おもいだす | 想起 | 動詞 | 名前を思い出しました。 | なまえをおもいだしました。 | 想起名字了。
考える | かんがえる | 思考 | 動詞 | もう一度考えます。 | もういちどかんがえます。 | 再想一次。
信じる | しんじる | 相信 | 動詞 | 彼の話を信じています。 | かれのはなしをしんじています。 | 我相信他說的。
気づく | きづく | 察覺、注意到 | 動詞 | 間違いに気づきました。 | まちがいにきづきました。 | 注意到錯誤了。
急ぐ | いそぐ | 趕、急 | 動詞 | 時間がないので急ぎましょう。 | じかんがないのでいそぎましょう。 | 沒時間了，快點吧。
遅れる | おくれる | 遲到、延誤 | 動詞 | バスが遅れています。 | バスがおくれています。 | 公車誤點了。
間に合う | まにあう | 趕上 | 動詞 | 走れば電車に間に合います。 | はしればでんしゃにまにあいます。 | 用跑的就趕得上電車。
続ける | つづける | 持續 | 動詞 | 日本語の勉強を続けます。 | にほんごのべんきょうをつづけます。 | 持續學日語。
やめる | やめる | 停止、辭去 | 動詞 | タバコをやめました。 | タバコをやめました。 | 戒菸了。
始める | はじめる | 開始 | 動詞 | 来月からジムに通い始めます。 | らいげつからジムにかよいはじめます。 | 下個月開始去健身房。
終わる | おわる | 結束 | 動詞 | 会議は五時に終わります。 | かいぎはごじにおわります。 | 會議五點結束。
直す | なおす | 修理、修改 | 動詞 | 時計を直してもらいました。 | とけいをなおしてもらいました。 | 請人修好了手錶。
治る | なおる | 痊癒 | 動詞 | 風邪が治りました。 | かぜがなおりました。 | 感冒好了。
壊れる | こわれる | 壞掉 | 動詞 | パソコンが壊れました。 | パソコンがこわれました。 | 電腦壞了。
汚れる | よごれる | 弄髒 | 動詞 | 服が汚れました。 | ふくがよごれました。 | 衣服髒了。
動く | うごく | 動、運轉 | 動詞 | この時計は動いていません。 | このとけいはうごいていません。 | 這隻錶不走了。
止まる | とまる | 停止 | 動詞 | 車が信号で止まりました。 | くるまがしんごうでとまりました。 | 車在紅綠燈前停下。
込む | こむ | 擁擠 | 動詞 | 朝の電車はとても込みます。 | あさのでんしゃはとてもこみます。 | 早上的電車非常擠。
空く | すく | 空、有空位 | 動詞 | お腹が空きました。 | おなかがすきました。 | 肚子餓了。
足りる | たりる | 足夠 | 動詞 | お金が足りません。 | おかねがたりません。 | 錢不夠。
余る | あまる | 剩下 | 動詞 | 料理が余りました。 | りょうりがあまりました。 | 菜剩下了。
準備する | じゅんびする | 準備 | 動詞 | 会議の資料を準備します。 | かいぎのしりょうをじゅんびします。 | 準備會議資料。
返す | かえす | 歸還 | 動詞 | 借りた本を返しました。 | かりたほんをかえしました。 | 還了借的書。
貸す | かす | 借出 | 動詞 | ペンを貸してください。 | ペンをかしてください。 | 請借我筆。
借りる | かりる | 借入 | 動詞 | 図書館でCDを借りました。 | としょかんでシーディーをかりました。 | 在圖書館借了CD。
払う | はらう | 支付 | 動詞 | カードで払います。 | カードではらいます。 | 用信用卡付。
育てる | そだてる | 養育、培育 | 動詞 | 子供を三人育てました。 | こどもをさんにんそだてました。 | 養大了三個孩子。
運転する | うんてんする | 駕駛 | 動詞 | 父は車を運転します。 | ちちはくるまをうんてんします。 | 我父親開車。
利用する | りようする | 利用、使用 | 動詞 | バスを利用して通学します。 | バスをりようしてつうがくします。 | 利用公車通學。
連れて行く | つれていく | 帶（人）去 | 動詞 | 子供を病院に連れて行きます。 | こどもをびょういんにつれていきます。 | 帶小孩去醫院。

# --- 形容詞・形容動詞 ---
厳しい | きびしい | 嚴格的 | 形容詞（い形） | あの先生は厳しいです。 | あのせんせいはきびしいです。 | 那位老師很嚴格。
優しい | やさしい | 溫柔的 | 形容詞（い形） | 母はとても優しいです。 | はははとてもやさしいです。 | 我媽媽很溫柔。
怖い | こわい | 可怕的 | 形容詞（い形） | ホラー映画は怖いです。 | ホラーえいがはこわいです。 | 恐怖片很可怕。
寂しい | さびしい | 寂寞的 | 形容詞（い形） | 一人の夜は寂しいです。 | ひとりのよるはさびしいです。 | 一個人的夜晚很寂寞。
嬉しい | うれしい | 高興的 | 形容詞（い形） | 手紙をもらって嬉しいです。 | てがみをもらってうれしいです。 | 收到信很開心。
悲しい | かなしい | 悲傷的 | 形容詞（い形） | 悲しい話を聞きました。 | かなしいはなしをききました。 | 聽了一個悲傷的故事。
恥ずかしい | はずかしい | 害羞的、丟臉的 | 形容詞（い形） | 間違えて恥ずかしかったです。 | まちがえてはずかしかったです。 | 弄錯了很丟臉。
珍しい | めずらしい | 稀奇的 | 形容詞（い形） | 珍しい切手を集めています。 | めずらしいきってをあつめています。 | 在收集稀有的郵票。
細かい | こまかい | 細小的、詳細的 | 形容詞（い形） | 細かいお金がありますか。 | こまかいおかねがありますか。 | 你有零錢嗎？
深い | ふかい | 深的 | 形容詞（い形） | この川は深いです。 | このかわはふかいです。 | 這條河很深。
浅い | あさい | 淺的 | 形容詞（い形） | ここは浅いから安全です。 | ここはあさいからあんぜんです。 | 這裡很淺所以安全。
硬い | かたい | 硬的 | 形容詞（い形） | このパンは硬いです。 | このパンはかたいです。 | 這個麵包很硬。
柔らかい | やわらかい | 柔軟的 | 形容詞（い形） | 柔らかいベッドで寝たいです。 | やわらかいベッドでねたいです。 | 想睡柔軟的床。
苦い | にがい | 苦的 | 形容詞（い形） | この薬は苦いです。 | このくすりはにがいです。 | 這個藥很苦。
甘い | あまい | 甜的 | 形容詞（い形） | 甘いものが好きです。 | あまいものがすきです。 | 喜歡甜食。
辛い | からい | 辣的 | 形容詞（い形） | この料理は辛いです。 | このりょうりはからいです。 | 這道菜很辣。
眠い | ねむい | 想睡的 | 形容詞（い形） | 昼ご飯の後は眠いです。 | ひるごはんのあとはねむいです。 | 午餐後很想睡。
安全 | あんぜん | 安全 | 形容動詞（な形） | この町は夜も安全です。 | このまちはよるもあんぜんです。 | 這個城鎮晚上也很安全。
危険 | きけん | 危險 | 形容動詞（な形） | ここは危険ですから、入らないでください。 | ここはきけんですから、はいらないでください。 | 這裡危險，請勿進入。
複雑 | ふくざつ | 複雜 | 形容動詞（な形） | 手続きが複雑です。 | てつづきがふくざつです。 | 手續很複雜。
十分 | じゅうぶん | 足夠、充分 | 形容動詞（な形） | 時間は十分あります。 | じかんはじゅうぶんあります。 | 時間很充裕。
熱心 | ねっしん | 熱心、認真 | 形容動詞（な形） | 彼は熱心に勉強します。 | かれはねっしんにべんきょうします。 | 他很認真讀書。
真面目 | まじめ | 認真、正經 | 形容動詞（な形） | 彼女は真面目な学生です。 | かのじょはまじめながくせいです。 | 她是個認真的學生。
丁寧 | ていねい | 有禮貌、仔細 | 形容動詞（な形） | 丁寧に説明してくれました。 | ていねいにせつめいしてくれました。 | 他仔細地為我說明。
残念 | ざんねん | 遺憾、可惜 | 形容動詞（な形） | 行けなくて残念です。 | いけなくてざんねんです。 | 不能去很可惜。
必要 | ひつよう | 必要 | 形容動詞（な形） | パスポートが必要です。 | パスポートがひつようです。 | 需要護照。
無理 | むり | 勉強、辦不到 | 形容動詞（な形） | 一日で終わるのは無理です。 | いちにちでおわるのはむりです。 | 一天內做完是不可能的。
特別 | とくべつ | 特別 | 形容動詞（な形） | 今日は特別な日です。 | きょうはとくべつなひです。 | 今天是特別的日子。
確か | たしか | 確實、大概 | 形容動詞（な形） | 確か彼は来ると言っていました。 | たしかかれはくるといっていました。 | 他好像說過會來。

# --- 副詞・接續 ---
急に | きゅうに | 突然 | 副詞 | 急に雨が降ってきました。 | きゅうにあめがふってきました。 | 突然下起雨來。
必ず | かならず | 一定 | 副詞 | 必ず連絡します。 | かならずれんらくします。 | 一定會聯絡你。
きっと | きっと | 一定（推測） | 副詞 | 彼はきっと来ます。 | かれはきっときます。 | 他一定會來。
たぶん | たぶん | 大概 | 副詞 | たぶん明日は晴れです。 | たぶんあしたははれです。 | 明天大概是晴天。
もし | もし | 如果 | 副詞 | もし雨なら中止します。 | もしあめならちゅうしします。 | 如果下雨就取消。
特に | とくに | 特別是 | 副詞 | 特に問題はありません。 | とくにもんだいはありません。 | 沒有特別的問題。
実は | じつは | 其實 | 副詞 | 実は相談があります。 | じつはそうだんがあります。 | 其實我有事想商量。
やはり | やはり | 果然、還是 | 副詞 | やはり彼が正しかったです。 | やはりかれがただしかったです。 | 果然還是他對。
そんなに | そんなに | 那麼（地） | 副詞 | そんなに急がなくてもいいです。 | そんなにいそがなくてもいいです。 | 不用那麼急。
なかなか | なかなか | 相當；（後接否定）怎麼也 | 副詞 | バスがなかなか来ません。 | バスがなかなかきません。 | 公車怎麼都不來。
ずっと | ずっと | 一直 | 副詞 | 朝からずっと働いています。 | あさからずっとはたらいています。 | 從早上一直工作。
しっかり | しっかり | 好好地、牢牢地 | 副詞 | しっかり勉強してください。 | しっかりべんきょうしてください。 | 請好好唸書。
それに | それに | 而且 | 接續詞 | この部屋は広いです。それに明るいです。 | このへやはひろいです。それにあかるいです。 | 這房間很大，而且很亮。
すると | すると | 於是、這麼一來 | 接續詞 | ボタンを押しました。すると、音が鳴りました。 | ボタンをおしました。すると、おとがなりました。 | 按了按鈕，於是響了聲音。
それで | それで | 因此 | 接續詞 | 道が込んでいました。それで遅れました。 | みちがこんでいました。それでおくれました。 | 路上塞車，因此遲到了。
けれど | けれど | 不過、但是 | 接續詞 | 高いです。けれど、質はいいです。 | たかいです。けれど、しつはいいです。 | 很貴，不過品質很好。

# === 增補批次 1 ===
# --- 名詞：生活・場所 ---
以上 | いじょう | 以上、上述 | 名詞 | 十八歳以上の人が対象です。 | じゅうはっさいいじょうのひとがたいしょうです。 | 對象是十八歲以上的人。
以下 | いか | 以下 | 名詞 | 千円以下の商品を探しています。 | せんえんいかのしょうひんをさがしています。 | 在找一千日圓以下的商品。
最初 | さいしょ | 最初 | 名詞 | 最初は難しかったです。 | さいしょはむずかしかったです。 | 一開始很難。
最後 | さいご | 最後 | 名詞 | 最後まで頑張ります。 | さいごまでがんばります。 | 堅持到最後。
最近 | さいきん | 最近 | 名詞 | 最近よく雨が降ります。 | さいきんよくあめがふります。 | 最近常下雨。
将来 | しょうらい | 將來 | 名詞 | 将来、先生になりたいです。 | しょうらい、せんせいになりたいです。 | 將來想當老師。
昔 | むかし | 從前 | 名詞 | 昔はここに川がありました。 | むかしはここにかわがありました。 | 從前這裡有條河。
途中 | とちゅう | 途中 | 名詞 | 帰る途中で買い物しました。 | かえるとちゅうでかいものしました。 | 回家途中買了東西。
場所 | ばしょ | 地方、地點 | 名詞 | 待ち合わせの場所を決めましょう。 | まちあわせのばしょをきめましょう。 | 決定碰面的地點吧。
受験 | じゅけん | 應考 | 名詞 | 来年、大学を受験します。 | らいねん、だいがくをじゅけんします。 | 明年要考大學。
留学 | りゅうがく | 留學 | 名詞 | 日本に留学するつもりです。 | にほんにりゅうがくするつもりです。 | 打算去日本留學。
アルバイト | アルバイト | 打工 | 名詞 | 週末はカフェでアルバイトをしています。 | しゅうまつはカフェでアルバイトをしています。 | 週末在咖啡廳打工。
パート | パート | 兼職 | 名詞 | 母はスーパーでパートをしています。 | はははスーパーでパートをしています。 | 我媽媽在超市做兼職。
夢 | ゆめ | 夢、夢想 | 名詞 | 医者になるのが夢です。 | いしゃになるのがゆめです。 | 當醫生是我的夢想。
生活費 | せいかつひ | 生活費 | 名詞 | 東京は生活費が高いです。 | とうきょうはせいかつひがたかいです。 | 東京生活費很高。
値段 | ねだん | 價格 | 名詞 | 値段を見て驚きました。 | ねだんをみておどろきました。 | 看到價格嚇了一跳。
品物 | しなもの | 物品、商品 | 名詞 | この店の品物はいいです。 | このみせのしなものはいいです。 | 這家店的東西不錯。
売り場 | うりば | 賣場 | 名詞 | 靴売り場は三階です。 | くつうりばはさんがいです。 | 鞋子賣場在三樓。
お釣り | おつり | 找的零錢 | 名詞 | お釣りを忘れずに受け取ってください。 | おつりをわすれずにうけとってください。 | 別忘了拿找零。
荷物 | にもつ | 行李、貨物 | 名詞 | 荷物が重くて持てません。 | にもつがおもくてもてません。 | 行李太重拿不動。
交番 | こうばん | 派出所 | 名詞 | 道に迷ったら交番で聞きます。 | みちにまよったらこうばんでききます。 | 迷路的話去派出所問。

# --- 名詞：自然・身體・健康 ---
森 | もり | 森林 | 名詞 | 森の中は涼しいです。 | もりのなかはすずしいです。 | 森林裡很涼快。
林 | はやし | 樹林 | 名詞 | 家の裏に竹の林があります。 | いえのうらにたけのはやしがあります。 | 家後面有竹林。
池 | いけ | 池塘 | 名詞 | 公園の池に魚がいます。 | こうえんのいけにさかながいます。 | 公園的池塘裡有魚。
湖 | みずうみ | 湖 | 名詞 | 湖の周りを歩きました。 | みずうみのまわりをあるきました。 | 沿著湖邊走了走。
島 | しま | 島 | 名詞 | 夏に小さな島へ行きました。 | なつにちいさなしまへいきました。 | 夏天去了一座小島。
星 | ほし | 星星 | 名詞 | 今夜は星がよく見えます。 | こんやはほしがよくみえます。 | 今晚星星很清楚。
月 | つき | 月亮 | 名詞 | 月がきれいですね。 | つきがきれいですね。 | 月亮很美呢。
太陽 | たいよう | 太陽 | 名詞 | 太陽が出てきました。 | たいようがでてきました。 | 太陽出來了。
空気 | くうき | 空氣 | 名詞 | 山の空気はおいしいです。 | やまのくうきはおいしいです。 | 山上的空氣很清新。
石 | いし | 石頭 | 名詞 | 川で丸い石を拾いました。 | かわでまるいいしをひろいました。 | 在河邊撿了圓石頭。
砂 | すな | 沙子 | 名詞 | 靴の中に砂が入りました。 | くつのなかにすながはいりました。 | 鞋子裡進了沙。
虫 | むし | 蟲 | 名詞 | 部屋に虫がいます。 | へやにむしがいます。 | 房間裡有蟲。
鳥 | とり | 鳥 | 名詞 | 朝、鳥の声で目が覚めました。 | あさ、とりのこえでめがさめました。 | 早上被鳥叫聲吵醒。
髪 | かみ | 頭髮 | 名詞 | 髪を短く切りました。 | かみをみじかくきりました。 | 把頭髮剪短了。
顔 | かお | 臉 | 名詞 | 顔を洗ってから朝ご飯を食べます。 | かおをあらってからあさごはんをたべます。 | 洗完臉才吃早餐。
歯 | は | 牙齒 | 名詞 | 寝る前に歯を磨きます。 | ねるまえにはをみがきます。 | 睡前刷牙。
喉 | のど | 喉嚨 | 名詞 | 喉が痛くて声が出ません。 | のどがいたくてこえがでません。 | 喉嚨痛得發不出聲音。
背中 | せなか | 背 | 名詞 | 背中がかゆいです。 | せなかがかゆいです。 | 背很癢。
お腹 | おなか | 肚子 | 名詞 | お腹がいっぱいです。 | おなかがいっぱいです。 | 肚子很飽。
腕 | うで | 手臂 | 名詞 | 腕を組んで考えています。 | うでをくんでかんがえています。 | 抱著手臂在思考。
足首 | あしくび | 腳踝 | 名詞 | 走っていて足首をひねりました。 | はしっていてあしくびをひねりました。 | 跑步時扭到腳踝。
命 | いのち | 生命 | 名詞 | 命は何より大切です。 | いのちはなによりたいせつです。 | 生命比什麼都重要。
健康 | けんこう | 健康 | 名詞 | 健康のために毎日歩きます。 | けんこうのためにまいにちあるきます。 | 為了健康每天走路。

# --- 動詞 ---
なさる | なさる | 做（尊敬語） | 動詞 | 社長は今、何をなさっていますか。 | しゃちょうはいま、なにをなさっていますか。 | 社長現在在做什麼呢？
くださる | くださる | 給（尊敬語） | 動詞 | 先生が本をくださいました。 | せんせいがほんをくださいました。 | 老師給了我書。
いらっしゃる | いらっしゃる | 在／來／去（尊敬語） | 動詞 | 部長は明日会社にいらっしゃいます。 | ぶちょうはあしたかいしゃにいらっしゃいます。 | 部長明天會來公司。
申す | もうす | 說（謙讓語） | 動詞 | 田中と申します。 | たなかともうします。 | 敝姓田中。
伺う | うかがう | 拜訪／請教（謙讓語） | 動詞 | 明日、三時にお宅に伺います。 | あした、さんじにおたくにうかがいます。 | 明天三點去拜訪您。
差し上げる | さしあげる | 給（謙讓語） | 動詞 | これをお土産に差し上げます。 | これをおみやげにさしあげます。 | 這個送您當伴手禮。
いただく | いただく | 得到／吃喝（謙讓語） | 動詞 | お土産をいただきました。 | おみやげをいただきました。 | 收到了伴手禮。
おっしゃる | おっしゃる | 說（尊敬語） | 動詞 | 先生がおっしゃったことをメモしました。 | せんせいがおっしゃったことをメモしました。 | 把老師說的話記下來了。
存じる | ぞんじる | 知道／認為（謙讓語） | 動詞 | その件は存じております。 | そのけんはぞんじております。 | 那件事我知道。
落ちる | おちる | 掉落、落榜 | 動詞 | 鍵が川に落ちました。 | かぎがかわにおちました。 | 鑰匙掉進河裡了。
落とす | おとす | 弄掉、丟失 | 動詞 | 電車で財布を落としました。 | でんしゃでさいふをおとしました。 | 在電車上把錢包弄丟了。
倒れる | たおれる | 倒下、病倒 | 動詞 | 台風で木が倒れました。 | たいふうできがたおれました。 | 颱風把樹吹倒了。
割れる | われる | 破裂 | 動詞 | コップが割れてしまいました。 | コップがわれてしまいました。 | 杯子破了。
折れる | おれる | 折斷 | 動詞 | 強い風で傘が折れました。 | つよいかぜでかさがおれました。 | 強風把傘吹斷了。
破れる | やぶれる | 破損 | 動詞 | ノートのページが破れました。 | ノートのページがやぶれました。 | 筆記本的頁面破了。
