# JLPT N2 單字（起始題庫，之後可增補）
# 格式： 漢字 | 假名 | 中文釋義 | 詞性 | 例句 | 例句假名 | 例句中譯

課題 | かだい | 課題、待解決的問題 | 名詞 | 環境問題は大きな課題です。 | かんきょうもんだいはおおきなかだいです。 | 環境問題是重大課題。
握る | にぎる | 握、抓 | 動詞 | しっかり手すりを握ってください。 | しっかりてすりをにぎってください。 | 請握緊扶手。
抱える | かかえる | 抱著、承擔 | 動詞 | 多くの問題を抱えています。 | おおくのもんだいをかかえています。 | 背負著許多問題。
及ぼす | およぼす | 波及、造成（影響） | 動詞 | 健康に悪影響を及ぼします。 | けんこうにあくえいきょうをおよぼします。 | 對健康造成不良影響。
占める | しめる | 佔（比例） | 動詞 | 女性が半数を占めています。 | じょせいがはんすうをしめています。 | 女性佔了半數。
崩れる | くずれる | 崩塌、走樣 | 動詞 | 天気が崩れそうです。 | てんきがくずれそうです。 | 天氣好像要變壞了。
含める | ふくめる | 使包含 | 動詞 | 税を含めて千円です。 | ぜいをふくめてせんえんです。 | 含稅一千日圓。
支える | ささえる | 支撐、支持 | 動詞 | 家族が私を支えてくれました。 | かぞくがわたしをささえてくれました。 | 家人一直支持著我。
削る | けずる | 削減、刨 | 動詞 | 予算を大幅に削りました。 | よさんをおおはばにけずりました。 | 大幅削減了預算。
補う | おぎなう | 補足、彌補 | 動詞 | 経験不足を努力で補います。 | けいけんぶそくをどりょくでおぎないます。 | 用努力彌補經驗不足。
重ねる | かさねる | 重疊、反覆 | 動詞 | 議論を重ねて結論を出しました。 | ぎろんをかさねてけつろんをだしました。 | 反覆討論後得出結論。
略す | りゃくす | 省略、簡稱 | 動詞 | 名前を略して呼びます。 | なまえをりゃくしてよびます。 | 用簡稱來稱呼。
応じる | おうじる | 回應、根據 | 動詞 | 状況に応じて対応します。 | じょうきょうにおうじてたいおうします。 | 視情況應對。
基づく | もとづく | 基於、根據 | 動詞 | 事実に基づいて報告します。 | じじつにもとづいてほうこくします。 | 根據事實報告。
異なる | ことなる | 不同 | 動詞 | 意見が大きく異なります。 | いけんがおおきくことなります。 | 意見有很大分歧。
含む | ふくむ | 含有 | 動詞 | ビタミンを多く含む野菜です。 | ビタミンをおおくふくむやさいです。 | 是富含維他命的蔬菜。
訴える | うったえる | 控訴、訴求 | 動詞 | 平和の大切さを訴えます。 | へいわのたいせつさをうったえます。 | 訴說和平的重要。
述べる | のべる | 陳述 | 動詞 | 意見を簡潔に述べてください。 | いけんをかんけつにのべてください。 | 請簡潔地陳述意見。

的確 | てきかく | 準確、恰當 | 形容動詞（な形） | 的確な指示をもらいました。 | てきかくなしじをもらいました。 | 得到了明確的指示。
妥当 | だとう | 妥當 | 形容動詞（な形） | それは妥当な判断です。 | それはだとうなはんだんです。 | 那是妥當的判斷。
深刻 | しんこく | 嚴重、深刻 | 形容動詞（な形） | 事態は深刻です。 | じたいはしんこくです。 | 事態嚴重。
柔軟 | じゅうなん | 靈活、柔軟 | 形容動詞（な形） | 柔軟な発想が必要です。 | じゅうなんなはっそうがひつようです。 | 需要靈活的思維。
明確 | めいかく | 明確 | 形容動詞（な形） | 目標を明確にします。 | もくひょうをめいかくにします。 | 讓目標明確。
慎重 | しんちょう | 慎重 | 形容動詞（な形） | 慎重に検討します。 | しんちょうにけんとうします。 | 慎重地評估。
めざましい | めざましい | 顯著的、驚人的 | 形容詞（い形） | 彼の成長はめざましいです。 | かれのせいちょうはめざましいです。 | 他的成長很驚人。
乏しい | とぼしい | 缺乏的 | 形容詞（い形） | 経験に乏しいです。 | けいけんにとぼしいです。 | 缺乏經驗。

あらゆる | あらゆる | 所有的、一切的 | 連體詞 | あらゆる可能性を考えます。 | あらゆるかのうせいをかんがえます。 | 考慮一切可能性。
主として | しゅとして | 主要 | 副詞 | 主として若者が対象です。 | しゅとしてわかものがたいしょうです。 | 主要以年輕人為對象。
一斉に | いっせいに | 一齊 | 副詞 | 全員が一斉に立ち上がりました。 | ぜんいんがいっせいにたちあがりました。 | 全體同時起立。
次第に | しだいに | 逐漸 | 副詞 | 痛みは次第に消えました。 | いたみはしだいにきえました。 | 疼痛逐漸消失。
あらかじめ | あらかじめ | 事先 | 副詞 | あらかじめ連絡してください。 | あらかじめれんらくしてください。 | 請事先聯絡。
思わず | おもわず | 不由得 | 副詞 | 思わず笑ってしまいました。 | おもわずわらってしまいました。 | 不由得笑了出來。

# === 增補批次 1 ===
# --- 名詞：抽象・社會 ---
現状 | げんじょう | 現狀 | 名詞 | 現状では実現が難しいです。 | げんじょうではじつげんがむずかしいです。 | 現狀下難以實現。
実態 | じったい | 實際情況 | 名詞 | 調査で問題の実態が明らかになりました。 | ちょうさでもんだいのじったいがあきらかになりました。 | 調查揭露了問題的實況。
実績 | じっせき | 實際業績 | 名詞 | 彼には十分な実績があります。 | かれにはじゅうぶんなじっせきがあります。 | 他有足夠的實績。
成果 | せいか | 成果 | 名詞 | 努力の成果が出ました。 | どりょくのせいかがでました。 | 努力有了成果。
効能 | こうのう | 功效 | 名詞 | この薬には胃を守る効能があります。 | このくすりにはいをまもるこうのうがあります。 | 這個藥有護胃的功效。
影響力 | えいきょうりょく | 影響力 | 名詞 | 彼の発言は影響力が大きいです。 | かれのはつげんはえいきょうりょくがおおきいです。 | 他的發言影響力很大。
可能性 | かのうせい | 可能性 | 名詞 | 成功する可能性は十分あります。 | せいこうするかのうせいはじゅうぶんあります。 | 成功的可能性很大。
必然 | ひつぜん | 必然 | 名詞 | この結果は必然だったと言えます。 | このけっかはひつぜんだったといえます。 | 可以說這結果是必然的。
偶然 | ぐうぜん | 偶然 | 名詞 | 二人の出会いは偶然でした。 | ふたりのであいはぐうぜんでした。 | 兩人的相遇是偶然。
矛盾点 | むじゅんてん | 矛盾之處 | 名詞 | 話の矛盾点を指摘しました。 | はなしのむじゅんてんをしてきしました。 | 指出了話裡的矛盾之處。
根本 | こんぽん | 根本 | 名詞 | 問題を根本から見直します。 | もんだいをこんぽんからみなおします。 | 從根本重新檢視問題。
基盤 | きばん | 基礎、根基 | 名詞 | 生活の基盤を築きます。 | せいかつのきばんをきずきます。 | 建立生活的根基。
仕組み | しくみ | 結構、機制 | 名詞 | この制度の仕組みを説明します。 | このせいどのしくみをせつめいします。 | 說明這個制度的運作機制。
構造 | こうぞう | 構造 | 名詞 | 建物の構造に問題がありました。 | たてもののこうぞうにもんだいがありました。 | 建築的結構有問題。
規模 | きぼ | 規模 | 名詞 | 大規模な工事が始まりました。 | だいきぼなこうじがはじまりました。 | 大規模的工程開始了。
範囲外 | はんいがい | 範圍外 | 名詞 | それは私の担当範囲外です。 | それはわたしのたんとうはんいがいです。 | 那不在我負責的範圍內。
対象 | たいしょう | 對象 | 名詞 | この調査の対象は二十代です。 | このちょうさのたいしょうはにじゅうだいです。 | 這項調查的對象是二十幾歲的人。
対策 | たいさく | 對策 | 名詞 | 暑さ対策をしっかりしましょう。 | あつさたいさくをしっかりしましょう。 | 做好防暑對策吧。
手続き | てつづき | 手續 | 名詞 | 入国の手続きに時間がかかりました。 | にゅうこくのてつづきにじかんがかかりました。 | 入境手續花了不少時間。
仕方 | しかた | 做法、方式 | 名詞 | やり方の仕方を教えてください。 | やりかたのしかたをおしえてください。 | 請教我做法。
役割 | やくわり | 角色、職責 | 名詞 | それぞれが自分の役割を果たします。 | それぞれがじぶんのやくわりをはたします。 | 每個人各盡其職。
立場 | たちば | 立場 | 名詞 | 相手の立場も考えるべきです。 | あいてのたちばもかんがえるべきです。 | 也該考慮對方的立場。
権限 | けんげん | 權限 | 名詞 | その決定は私の権限を超えています。 | そのけっていはわたしのけんげんをこえています。 | 那個決定超出我的權限。
義務 | ぎむ | 義務 | 名詞 | 納税は国民の義務です。 | のうぜいはこくみんのぎむです。 | 納稅是國民的義務。
制限時間 | せいげんじかん | 時間限制 | 名詞 | 制限時間は九十分です。 | せいげんじかんはきゅうじゅっぷんです。 | 時限是九十分鐘。
利益 | りえき | 利益、利潤 | 名詞 | 会社の利益が上がりました。 | かいしゃのりえきがあがりました。 | 公司的利潤增加了。
損失 | そんしつ | 損失 | 名詞 | 台風で大きな損失を受けました。 | たいふうでおおきなそんしつをうけました。 | 因颱風蒙受重大損失。
費用対効果 | ひようたいこうか | 成本效益 | 名詞 | 費用対効果を考えて判断します。 | ひようたいこうかをかんがえてはんだんします。 | 考慮成本效益來判斷。
需要と供給 | じゅようときょうきゅう | 供需 | 名詞 | 価格は需要と供給で決まります。 | かかくはじゅようときょうきゅうできまります。 | 價格由供需決定。
統計 | とうけい | 統計 | 名詞 | 統計によると人口は減少しています。 | とうけいによるとじんこうはげんしょうしています。 | 據統計人口正在減少。
割合 | わりあい | 比例 | 名詞 | 女性社員の割合が増えました。 | じょせいしゃいんのわりあいがふえました。 | 女性員工的比例增加了。
比率 | ひりつ | 比率 | 名詞 | 男女の比率はほぼ同じです。 | だんじょのひりつはほぼおなじです。 | 男女比率幾乎相同。
平均寿命 | へいきんじゅみょう | 平均壽命 | 名詞 | 日本人の平均寿命は長いです。 | にほんじんのへいきんじゅみょうはながいです。 | 日本人的平均壽命很長。

# --- 名詞：日常・行為 ---
締め切り間際 | しめきりまぎわ | 截止前一刻 | 名詞 | 締め切り間際になって慌てました。 | しめきりまぎわになってあわてました。 | 到截止前一刻才慌了。
言い訳 | いいわけ | 藉口 | 名詞 | 言い訳をしないで謝りました。 | いいわけをしないであやまりました。 | 沒找藉口就道歉了。
文句 | もんく | 抱怨、意見 | 名詞 | 彼はいつも文句ばかり言います。 | かれはいつももんくばかりいいます。 | 他老是在抱怨。
苦情 | くじょう | 客訴、投訴 | 名詞 | 騒音について苦情が来ました。 | そうおんについてくじょうがきました。 | 有人針對噪音來投訴。
批判 | ひはん | 批判 | 名詞 | その政策は強い批判を受けました。 | そのせいさくはつよいひはんをうけました。 | 那項政策受到強烈批判。
評判 | ひょうばん | 風評、名聲 | 名詞 | あのレストランは評判がいいです。 | あのレストランはひょうばんがいいです。 | 那家餐廳評價很好。
印象 | いんしょう | 印象 | 名詞 | 彼女は控えめな印象を与えます。 | かのじょはひかえめないんしょうをあたえます。 | 她給人謙遜的印象。
表情 | ひょうじょう | 表情 | 名詞 | 彼はほっとした表情を見せました。 | かれはほっとしたひょうじょうをみせました。 | 他露出鬆一口氣的表情。
態度 | たいど | 態度 | 名詞 | あいまいな態度は誤解を招きます。 | あいまいなたいどはごかいをまねきます。 | 曖昧的態度會招致誤解。
姿 | すがた | 身影、樣子 | 名詞 | 彼の姿がいつの間にか見えなくなった。 | かれのすがたがいつのまにかみえなくなった。 | 不知不覺看不到他的身影了。
様子 | ようす | 樣子、情形 | 名詞 | 外の様子を見てきます。 | そとのようすをみてきます。 | 我去看看外面的情形。
気配 | けはい | 跡象、動靜 | 名詞 | 誰かがいる気配を感じました。 | だれかがいるけはいをかんじました。 | 感覺到有人在的動靜。
勢い | いきおい | 氣勢、勢頭 | 名詞 | チームは今、勢いに乗っています。 | チームはいま、いきおいにのっています。 | 隊伍現在氣勢正旺。
限界 | げんかい | 極限、界限 | 名詞 | 体力の限界を感じました。 | たいりょくのげんかいをかんじました。 | 感覺到體力的極限。
余裕 | よゆう | 餘裕、從容 | 名詞 | 時間に余裕を持って出発します。 | じかんによゆうをもってしゅっぱつします。 | 留有充裕時間出發。
油断 | ゆだん | 疏忽大意 | 名詞 | 最後まで油断は禁物です。 | さいごまでゆだんはきんもつです。 | 到最後都不能大意。
努力家 | どりょくか | 努力的人 | 名詞 | 彼は誰よりも努力家です。 | かれはだれよりもどりょくかです。 | 他比誰都努力。
才能 | さいのう | 才能 | 名詞 | 彼女には音楽の才能があります。 | かのじょにはおんがくのさいのうがあります。 | 她有音樂才能。
実力 | じつりょく | 實力 | 名詞 | 実力を発揮できませんでした。 | じつりょくをはっきできませんでした。 | 沒能發揮實力。
弱点 | じゃくてん | 弱點 | 名詞 | 自分の弱点を克服します。 | じぶんのじゃくてんをこくふくします。 | 克服自己的弱點。
長所 | ちょうしょ | 優點 | 名詞 | 面接で自分の長所を話しました。 | めんせつでじぶんのちょうしょをはなしました。 | 面試時談了自己的優點。
短所 | たんしょ | 缺點 | 名詞 | 短所も正直に伝えました。 | たんしょもしょうじきにつたえました。 | 也誠實地說了缺點。

# --- 動詞 ---
生じる | しょうじる | 產生、發生 | 動詞 | 意見の違いから対立が生じました。 | いけんのちがいからたいりつがしょうじました。 | 因意見分歧產生了對立。
指す | さす | 指、指向 | 動詞 | 時計は三時を指しています。 | とけいはさんじをさしています。 | 時鐘指著三點。
指摘する | してきする | 指出 | 動詞 | 資料の誤りを指摘されました。 | しりょうのあやまりをしてきされました。 | 被指出資料的錯誤。
主張する | しゅちょうする | 主張 | 動詞 | 彼は自分の正しさを主張しました。 | かれはじぶんのただしさをしゅちょうしました。 | 他主張自己是對的。
否定する | ひていする | 否定 | 動詞 | 彼はその噂を強く否定しました。 | かれはそのうわさをつよくひていしました。 | 他強烈否認那個傳聞。
証明する | しょうめいする | 證明 | 動詞 | 実験で仮説を証明しました。 | じっけんでかせつをしょうめいしました。 | 用實驗證明了假設。
判明する | はんめいする | 查明、弄清 | 動詞 | 事故の原因が判明しました。 | じこのげんいんがはんめいしました。 | 事故原因查明了。
検討する | けんとうする | 研究、評估 | 動詞 | その案を前向きに検討します。 | そのあんをまえむきにけんとうします。 | 會積極評估那個方案。
分析する | ぶんせきする | 分析 | 動詞 | データを詳しく分析します。 | データをくわしくぶんせきします。 | 詳細分析數據。
評価する | ひょうかする | 評價 | 動詞 | その努力を高く評価します。 | そのどりょくをたかくひょうかします。 | 高度肯定那份努力。
判定する | はんていする | 判定 | 動詞 | 審判が反則を判定しました。 | しんぱんがはんそくをはんていしました。 | 裁判判定為犯規。
区別する | くべつする | 區別 | 動詞 | 事実と意見を区別して書きます。 | じじつといけんをくべつしてかきます。 | 區分事實與意見來寫。
共通する | きょうつうする | 共通、共同 | 動詞 | 二つの事件には共通する点があります。 | ふたつのじけんにはきょうつうするてんがあります。 | 兩起事件有共通點。
関わる | かかわる | 涉及、有關 | 動詞 | この決定は将来に大きく関わります。 | このけっていはしょうらいにおおきくかかわります。 | 這個決定與未來密切相關。
影響する | えいきょうする | 影響 | 動詞 | 睡眠不足は仕事に影響します。 | すいみんぶそくはしごとにえいきょうします。 | 睡眠不足會影響工作。
反映する | はんえいする | 反映 | 動詞 | アンケートの結果を計画に反映します。 | アンケートのけっかをけいかくにはんえいします。 | 把問卷結果反映到計畫中。
対応する | たいおうする | 應對、對應 | 動詞 | 苦情に丁寧に対応します。 | くじょうにていねいにたいおうします。 | 客氣地處理客訴。
処理する | しょりする | 處理 | 動詞 | 大量のデータを一度に処理します。 | たいりょうのデータをいちどにしょりします。 | 一次處理大量數據。
実施する | じっしする | 實施 | 動詞 | 来月から新しい制度を実施します。 | らいげつからあたらしいせいどをじっしします。 | 下個月起實施新制度。
導入する | どうにゅうする | 導入、引進 | 動詞 | 新しいシステムを導入しました。 | あたらしいシステムをどうにゅうしました。 | 引進了新系統。
促す | うながす | 促使、催促 | 動詞 | 参加者に発言を促しました。 | さんかしゃにはつげんをうながしました。 | 促請與會者發言。
妨げる | さまたげる | 妨礙 | 動詞 | 騒音が集中を妨げます。 | そうおんがしゅうちゅうをさまたげます。 | 噪音妨礙專注。
防止する | ぼうしする | 防止 | 動詞 | 事故を防止する対策を取ります。 | じこをぼうしするたいさくをとります。 | 採取防止事故的對策。
削減する | さくげんする | 削減 | 動詞 | 経費を大幅に削減しました。 | けいひをおおはばにさくげんしました。 | 大幅削減了經費。
拡大する | かくだいする | 擴大 | 動詞 | 事業を海外に拡大します。 | じぎょうをかいがいにかくだいします。 | 把業務擴展到海外。
縮小する | しゅくしょうする | 縮小 | 動詞 | 予算の関係で計画を縮小しました。 | よさんのかんけいでけいかくをしゅくしょうしました。 | 因預算關係縮小了計畫。
維持する | いじする | 維持 | 動詞 | 健康を維持するよう努めます。 | けんこうをいじするようつとめます。 | 努力維持健康。
向上する | こうじょうする | 提升 | 動詞 | 練習で技術が向上しました。 | れんしゅうでぎじゅつがこうじょうしました。 | 透過練習技術提升了。
低下する | ていかする | 下降、降低 | 動詞 | 気温の低下で客足が減りました。 | きおんのていかできゃくあしがへりました。 | 氣溫下降使來客減少。
超過する | ちょうかする | 超過 | 動詞 | 予算を超過しないよう注意します。 | よさんをちょうかしないようちゅういします。 | 注意不要超出預算。
達する | たっする | 達到 | 動詞 | 売上が目標に達しました。 | うりあげがもくひょうにたっしました。 | 業績達到了目標。
及ぶ | およぶ | 達到、涉及 | 動詞 | 被害は広い範囲に及びました。 | ひがいはひろいはんいにおよびました。 | 災情波及廣泛範圍。
含まれる | ふくまれる | 被包含 | 動詞 | 料金には朝食が含まれます。 | りょうきんにはちょうしょくがふくまれます。 | 費用包含早餐。
除く | のぞく | 除去、除外 | 動詞 | 日曜を除いて毎日営業します。 | にちようをのぞいてまいにちえいぎょうします。 | 除星期日外每天營業。
省く | はぶく | 省略、節省 | 動詞 | 手間を省くために機械を使います。 | てまをはぶくためにきかいをつかいます。 | 為省工夫而使用機器。
兼ねる | かねる | 兼具、兼任 | 動詞 | この部屋は寝室と書斎を兼ねています。 | このへやはしんしつとしょさいをかねています。 | 這房間兼作臥室和書房。

# --- 形容詞・形容動詞 ---
著しい | いちじるしい | 顯著的 | 形容詞（い形） | 経済に著しい変化がありました。 | けいざいにいちじるしいへんかがありました。 | 經濟出現顯著變化。
望ましい | のぞましい | 理想的、可取的 | 形容詞（い形） | 全員が参加するのが望ましいです。 | ぜんいんがさんかするのがのぞましいです。 | 最好是全員參加。
等しい | ひとしい | 相等的 | 形容詞（い形） | 二つの三角形の面積は等しいです。 | ふたつのさんかくけいのめんせきはひとしいです。 | 兩個三角形面積相等。
くだらない | くだらない | 無聊的、沒價值的 | 形容詞（い形） | くだらない話で時間を無駄にしました。 | くだらないはなしでじかんをむだにしました。 | 為無聊的話浪費了時間。
やむを得ない | やむをえない | 不得已的 | 形容詞（い形） | 中止はやむを得ない判断でした。 | ちゅうしはやむをえないはんだんでした。 | 中止是不得已的決定。
急激 | きゅうげき | 急遽、劇烈 | 形容動詞（な形） | 気温が急激に下がりました。 | きおんがきゅうげきにさがりました。 | 氣溫劇烈下降。
順調 | じゅんちょう | 順利 | 形容動詞（な形） | 交渉は順調に進んでいます。 | こうしょうはじゅんちょうにすすんでいます。 | 談判進展順利。
適切 | てきせつ | 恰當 | 形容動詞（な形） | 適切な対応を心がけます。 | てきせつなたいおうをこころがけます。 | 力求恰當的應對。
不適切 | ふてきせつ | 不恰當 | 形容動詞（な形） | その発言は不適切でした。 | そのはつげんはふてきせつでした。 | 那個發言不恰當。
穏やか | おだやか | 平穩、溫和 | 形容動詞（な形） | 今日は穏やかな天気です。 | きょうはおだやかなてんきです。 | 今天天氣很平穩。
爽やか | さわやか | 清爽 | 形容動詞（な形） | 朝の爽やかな空気を吸います。 | あさのさわやかなくうきをすいます。 | 呼吸早晨清爽的空氣。
主要 | しゅよう | 主要 | 形容動詞（な形） | 主要な駅にはエレベーターがあります。 | しゅようなえきにはエレベーターがあります。 | 主要車站都有電梯。
膨大 | ぼうだい | 龐大 | 形容動詞（な形） | 膨大な資料を整理します。 | ぼうだいなしりょうをせいりします。 | 整理龐大的資料。
わずか | わずか | 些微、僅僅 | 形容動詞（な形） | わずかな差で勝ちました。 | わずかなさでかちました。 | 以些微差距獲勝。
曖昧 | あいまい | 曖昧、含糊 | 形容動詞（な形） | 曖昧な返事は避けてください。 | あいまいなへんじはさけてください。 | 請避免含糊的回答。

# --- 副詞 ---
比較的 | ひかくてき | 比較（地） | 副詞 | 今年は比較的暖かいです。 | ことしはひかくてきあたたかいです。 | 今年比較暖和。
相当 | そうとう | 相當 | 副詞 | 準備には相当な時間がかかります。 | じゅんびにはそうとうなじかんがかかります。 | 準備要花相當多的時間。
極めて | きわめて | 極為 | 副詞 | 成功の可能性は極めて低いです。 | せいこうのかのうせいはきわめてひくいです。 | 成功的可能性極低。
むしろ | むしろ | 倒不如說、反而 | 副詞 | 高いというより、むしろ安いです。 | たかいというより、むしろやすいです。 | 與其說貴，不如說便宜。
かえって | かえって | 反而 | 副詞 | 手伝ったら、かえって邪魔になりました。 | てつだったら、かえってじゃまになりました。 | 一幫忙反而礙事。
あくまで | あくまで | 徹底、始終 | 副詞 | これはあくまで私の意見です。 | これはあくまでわたしのいけんです。 | 這終究只是我的意見。
たしかに | たしかに | 的確 | 副詞 | たしかにその通りですね。 | たしかにそのとおりですね。 | 的確如你所說。
実に | じつに | 實在、的確 | 副詞 | 実に見事な作品です。 | じつにみごとなさくひんです。 | 實在是精彩的作品。
今更 | いまさら | 事到如今 | 副詞 | 今更後悔しても遅いです。 | いまさらこうかいしてもおそいです。 | 事到如今後悔也晚了。
いずれ | いずれ | 遲早、總有一天 | 副詞 | いずれ真実は明らかになります。 | いずれしんじつはあきらかになります。 | 真相遲早會明朗。
少なくとも | すくなくとも | 至少 | 副詞 | 少なくとも三人は必要です。 | すくなくともさんにんはひつようです。 | 至少需要三個人。
たとえ | たとえ | 即使 | 副詞 | たとえ反対されても続けます。 | たとえはんたいされてもつづけます。 | 即使被反對也要繼續。

# === 增補批次 2 ===
# --- 名詞 ---
分野別 | ぶんやべつ | 各領域、按領域 | 名詞 | 分野別に専門家を集めました。 | ぶんやべつにせんもんかをあつめました。 | 按領域召集了專家。
面接官 | めんせつかん | 面試官 | 名詞 | 面接官の質問に落ち着いて答えました。 | めんせつかんのしつもんにおちついてこたえました。 | 冷靜地回答了面試官的問題。
担当者 | たんとうしゃ | 負責人、承辦人 | 名詞 | 担当者に直接お問い合わせください。 | たんとうしゃにちょくせつおといあわせください。 | 請直接洽詢承辦人。
責任者 | せきにんしゃ | 負責人 | 名詞 | 現場の責任者は誰ですか。 | げんばのせきにんしゃはだれですか。 | 現場的負責人是誰？
参加者 | さんかしゃ | 參加者 | 名詞 | 参加者は五十人を超えました。 | さんかしゃはごじゅうにんをこえました。 | 參加者超過五十人。
利用者 | りようしゃ | 使用者 | 名詞 | アプリの利用者が急増しています。 | アプリのりようしゃがきゅうぞうしています。 | App 的使用者急速增加。
消費者 | しょうひしゃ | 消費者 | 名詞 | 消費者の声を商品に生かします。 | しょうひしゃのこえをしょうひんにいかします。 | 把消費者的意見用在商品上。
生産者 | せいさんしゃ | 生產者 | 名詞 | 生産者から直接野菜を買います。 | せいさんしゃからちょくせつやさいをかいます。 | 直接向生產者買菜。
経営者 | けいえいしゃ | 經營者 | 名詞 | 若い経営者が注目されています。 | わかいけいえいしゃがちゅうもくされています。 | 年輕經營者受到矚目。
専門知識 | せんもんちしき | 專業知識 | 名詞 | この仕事には専門知識が要ります。 | このしごとにはせんもんちしきがいります。 | 這份工作需要專業知識。
一致 | いっち | 一致 | 名詞 | 意見の一致が見られませんでした。 | いけんのいっちがみられませんでした。 | 沒能達成意見一致。
対立 | たいりつ | 對立 | 名詞 | 両国の対立が深まっています。 | りょうこくのたいりつがふかまっています。 | 兩國的對立日益加深。
妥協案 | だきょうあん | 折衷方案 | 名詞 | 最終的に妥協案でまとまりました。 | さいしゅうてきにだきょうあんでまとまりました。 | 最後以折衷方案達成共識。
議論 | ぎろん | 討論、辯論 | 名詞 | 長い議論の末に決まりました。 | ながいぎろんのすえにきまりました。 | 經過長時間討論後決定了。
交渉 | こうしょう | 談判、交涉 | 名詞 | 価格の交渉がまとまりました。 | かかくのこうしょうがまとまりました。 | 價格談判達成一致。
契約 | けいやく | 契約 | 名詞 | 来週、正式に契約を結びます。 | らいしゅう、せいしきにけいやくをむすびます。 | 下週正式簽約。
条項 | じょうこう | 條款 | 名詞 | 契約の条項をよく確認します。 | けいやくのじょうこうをよくかくにんします。 | 仔細確認合約條款。
規定 | きてい | 規定 | 名詞 | 社内規定に従って処理します。 | しゃないきていにしたがってしょりします。 | 依公司規定處理。
基準値 | きじゅんち | 基準值 | 名詞 | 数値は基準値を下回っています。 | すうちはきじゅんちをしたまわっています。 | 數值低於基準值。
目安 | めやす | 大致標準、參考 | 名詞 | 一人前の目安はこのくらいです。 | いちにんまえのめやすはこのくらいです。 | 一人份大致這麼多。
傾向にある | けいこうにある | 有…傾向 | 名詞 | 出生率は下がる傾向にあります。 | しゅっしょうりつはさがるけいこうにあります。 | 出生率有下降的傾向。
現場 | げんば | 現場 | 名詞 | 事故の現場はすぐに封鎖されました。 | じこのげんばはすぐにふうさされました。 | 事故現場立刻被封鎖。
現地 | げんち | 當地 | 名詞 | 現地の様子を取材します。 | げんちのようすをしゅざいします。 | 採訪當地的情況。
地域 | ちいき | 地區 | 名詞 | この地域は雪がよく降ります。 | このちいきはゆきがよくふります。 | 這個地區常下雪。
都市 | とし | 都市 | 名詞 | 大都市は物価が高いです。 | だいとしはぶっかがたかいです。 | 大都市物價高。
過疎 | かそ | 人口過少 | 名詞 | 過疎の村に若者が戻り始めました。 | かそのむらにわかものがもどりはじめました。 | 年輕人開始回到人口稀少的村莊。
