# JLPT N3 文法   格式： 句型 | 讀音 | 中文意思 | 接續結構 | 例句 | 例句假名 | 例句中譯

～ようになる |  | 「變得～」表示能力或習慣的變化 | 動詞辭書形／可能形＋ようになる | 最近、朝早く起きられるようになった。 | さいきん、あさはやくおきられるようになった。 | 最近變得能早起了。
～わけだ |  | 「難怪～、也就是說～」（推導出的結論） | 普通形＋わけだ | 道理で寒いわけだ、雪が降っている。 | どうりでさむいわけだ、ゆきがふっている。 | 難怪這麼冷，下雪了。
～わけではない |  | 「並不是～」（部分否定） | 普通形＋わけではない | 嫌いなわけではないが、あまり食べない。 | きらいなわけではないが、あまりたべない。 | 並不是討厭，只是不太吃。
～はずがない |  | 「不可能～」 | 普通形（な形＋な／名詞＋の）＋はずがない | 彼がそんなことを言うはずがない。 | かれがそんなことをいうはずがない。 | 他不可能說那種話。
～に違いない | ～にちがいない | 「一定是～」（強烈確信） | 普通形＋に違いない | あの様子では、合格したに違いない。 | あのようすでは、ごうかくしたにちがいない。 | 看那樣子一定是考上了。
～みたいに／～みたいな |  | 「像～一樣」 | 名詞＋みたいな＋名詞 | 彼は子供みたいに笑った。 | かれはこどもみたいにわらった。 | 他像孩子一樣笑了。
～として |  | 「作為～、以～身分」 | 名詞＋として | 留学生として日本に来ました。 | りゅうがくせいとしてにほんにきました。 | 以留學生身分來到日本。
～ばかりでなく／～だけでなく |  | 「不僅～而且～」 | 名詞／普通形＋ばかりでなく | 彼は英語だけでなく中国語も話せる。 | かれはえいごだけでなくちゅうごくごもはなせる。 | 他不只會英語還會中文。
～という |  | 「叫做～、聽說～」 | 名詞＋という＋名詞／普通形＋という | 田中という人から電話がありました。 | たなかというひとからでんわがありました。 | 有位叫田中的人來電。
～ということだ |  | 「據說～、意思是說～」 | 普通形＋ということだ | 天気予報によると、明日は晴れるということだ。 | てんきよほうによると、あしたははれるということだ。 | 氣象預報說明天會放晴。
～ようとする |  | 「試圖～、正要～」 | 動詞意向形＋とする | ドアを開けようとしたが、鍵がかかっていた。 | ドアをあけようとしたが、かぎがかかっていた。 | 正想開門，門卻鎖著。
～ずに／～ないで |  | 「不～（而做別的）、沒有～就～」 | 動詞ない形（去ない）＋ずに | 朝ご飯を食べずに家を出た。 | あさごはんをたべずにいえをでた。 | 沒吃早餐就出門了。
～しかない |  | 「只能～、只好～」 | 動詞辭書形＋しかない | バスがないので、歩くしかない。 | バスがないので、あるくしかない。 | 沒有公車，只好走路。
～うちに |  | 「趁著～的時候、在～之間」 | 動詞辭書形／ている／ない形＋うちに | 熱いうちに食べてください。 | あついうちにたべてください。 | 請趁熱吃。
～によると |  | 「根據～（消息來源）」 | 名詞＋によると | 新聞によると、来週から値上げされるそうだ。 | しんぶんによると、らいしゅうからねあげされるそうだ。 | 據報載下週起要漲價。
～ものだ |  | 「（本來就）～、～真是啊」（一般常理・感慨） | 動詞・形容詞普通形＋ものだ | 年を取ると、昔のことをよく思い出すものだ。 | としをとると、むかしのことをよくおもいだすものだ。 | 上了年紀就容易想起往事。
～くらい／～ほど |  | 「～到那種程度」 | 動詞・名詞＋くらい／ほど | 立てないほど疲れた。 | たてないほどつかれた。 | 累到站不起來。

# === 增補批次 1 ===
～たとたん（に） |  | 「一～就立刻（意外地）」 | 動詞た形＋とたん | 家を出たとたん、雨が降ってきた。 | いえをでたとたん、あめがふってきた。 | 一出門就下起雨來。
～かけ／～かけの |  | 「做到一半的～」 | 動詞ます形＋かけ | 読みかけの本が机の上にある。 | よみかけのほんがつくえのうえにある。 | 桌上有本讀到一半的書。
～っぱなし |  | 「一直～著（放任不管）」 | 動詞ます形＋っぱなし | 電気をつけっぱなしで出かけた。 | でんきをつけっぱなしででかけた。 | 開著燈就出門了。
～向け | ～むけ | 「面向～、以～為對象」 | 名詞＋向け | これは子供向けの番組です。 | これはこどもむけのばんぐみです。 | 這是給小孩看的節目。
～向き | ～むき | 「適合～、朝向～」 | 名詞＋向き | この仕事は初心者向きです。 | このしごとはしょしんしゃむきです。 | 這份工作適合新手。
～だらけ |  | 「滿是～」（多為負面） | 名詞＋だらけ | 子供の服が泥だらけになった。 | こどものふくがどろだらけになった。 | 小孩的衣服沾滿了泥。
～ふりをする |  | 「裝作～的樣子」 | 動詞・形容詞普通形／名詞＋の＋ふりをする | 知っているのに知らないふりをした。 | しっているのにしらないふりをした。 | 明明知道卻裝作不知道。
～せいか |  | 「也許是因為～」 | 普通形（な形＋な／名詞＋の）＋せいか | 寝不足のせいか、頭が痛い。 | ねぶそくのせいか、あたまがいたい。 | 也許是睡眠不足，頭很痛。
～気がする | ～きがする | 「總覺得～」 | 普通形＋気がする | どこかで会ったような気がする。 | どこかであったようなきがする。 | 總覺得在哪裡見過。
～に比べて | ～にくらべて | 「與～相比」 | 名詞＋に比べて | 去年に比べて売上が伸びた。 | きょねんにくらべてうりあげがのびた。 | 與去年相比業績成長了。
～ついでに |  | 「順便～」 | 動詞辭書形／た形／名詞＋の＋ついでに | 買い物のついでに、郵便局に寄った。 | かいもののついでに、ゆうびんきょくによった。 | 購物順便去了郵局。
～代わりに | ～かわりに | 「代替～、作為～的交換」 | 動詞辭書形／名詞＋の＋代わりに | 部長の代わりに私が出席します。 | ぶちょうのかわりにわたしがしゅっせきします。 | 我代替部長出席。
～てからでないと |  | 「不先～就不能～」 | 動詞て形＋からでないと | 許可をもらってからでないと、始められない。 | きょかをもらってからでないと、はじめられない。 | 不先取得許可就不能開始。
～ようとしない |  | 「不願意～、不肯～」 | 動詞意向形＋としない | 彼は誰の話も聞こうとしない。 | かれはだれのはなしもきこうとしない。 | 他不肯聽任何人的話。
～最中に | ～さいちゅうに | 「正在～的時候」 | 動詞ている／名詞＋の＋最中に | 発表の最中に停電した。 | はっぴょうのさいちゅうにていでんした。 | 報告到一半停電了。
