# JLPT N1 單字（起始題庫，之後可增補）
# 格式： 漢字 | 假名 | 中文釋義 | 詞性 | 例句 | 例句假名 | 例句中譯

意図 | いと | 意圖 | 名詞 | 発言の意図が分かりません。 | はつげんのいとがわかりません。 | 不明白發言的意圖。
矛先 | ほこさき | 矛頭、攻擊方向 | 名詞 | 批判の矛先が政府に向かいました。 | ひはんのほこさきがせいふにむかいました。 | 批判的矛頭指向政府。
真相 | しんそう | 真相 | 名詞 | 事件の真相はまだ闇の中です。 | じけんのしんそうはまだやみのなかです。 | 事件真相仍不明。

損なう | そこなう | 損害、破壞 | 動詞 | 信頼を損なう行為です。 | しんらいをそこなうこういです。 | 是損害信任的行為。
免れる | まぬがれる | 免於、逃過 | 動詞 | 責任は免れません。 | せきにんはまぬがれません。 | 難逃其責。
覆す | くつがえす | 推翻 | 動詞 | 一審の判決を覆しました。 | いっしんのはんけつをくつがえしました。 | 推翻了一審判決。
携わる | たずさわる | 從事、參與 | 動詞 | 長年教育に携わってきました。 | ながねんきょういくにたずさわってきました。 | 長年從事教育工作。
物語る | ものがたる | 說明、顯示 | 動詞 | データが問題の深刻さを物語っています。 | データがもんだいのしんこくさをものがたっています。 | 數據說明了問題的嚴重性。
見なす | みなす | 視為、當作 | 動詞 | 返事がなければ同意と見なします。 | へんじがなければどういとみなします。 | 若無回覆則視為同意。
費やす | ついやす | 花費 | 動詞 | 準備に一年を費やしました。 | じゅんびにいちねんをついやしました。 | 花了一年準備。
強いる | しいる | 強迫 | 動詞 | 犠牲を強いることになります。 | ぎせいをしいることになります。 | 這會強迫他人做出犧牲。
滞る | とどこおる | 停滯、拖欠 | 動詞 | 支払いが滞っています。 | しはらいがとどこおっています。 | 款項拖欠中。
賄う | まかなう | 供應、籌措 | 動詞 | 経費は寄付で賄います。 | けいひはきふでまかないます。 | 經費以捐款支應。
即する | そくする | 符合、切合 | 動詞 | 現実に即した計画が必要です。 | げんじつにそくしたけいかくがひつようです。 | 需要切合實際的計畫。

顕著 | けんちょ | 顯著 | 形容動詞（な形） | 効果は顕著でした。 | こうかはけんちょでした。 | 效果顯著。
不可欠 | ふかけつ | 不可或缺 | 形容動詞（な形） | 水は生活に不可欠です。 | みずはせいかつにふかけつです。 | 水是生活不可或缺的。
円滑 | えんかつ | 圓滑、順利 | 形容動詞（な形） | 交渉は円滑に進みました。 | こうしょうはえんかつにすすみました。 | 談判順利進行。
露骨 | ろこつ | 露骨 | 形容動詞（な形） | 露骨に嫌な顔をされました。 | ろこつにいやなかおをされました。 | 對方露骨地擺臭臉。
質素 | しっそ | 儉樸 | 形容動詞（な形） | 質素な暮らしをしています。 | しっそなくらしをしています。 | 過著儉樸的生活。
はなはだしい | はなはだしい | 非常、過分的 | 形容詞（い形） | 認識がはなはだしく不足しています。 | にんしきがはなはだしくふそくしています。 | 認知嚴重不足。
紛らわしい | まぎらわしい | 容易混淆的 | 形容詞（い形） | 紛らわしい名前で間違えました。 | まぎらわしいなまえでまちがえました。 | 因名字相近而弄錯。

もっぱら | もっぱら | 專門、淨是 | 副詞 | 週末はもっぱら家で過ごします。 | しゅうまつはもっぱらいえですごします。 | 週末幾乎都待在家。
ことごとく | ことごとく | 全部、無一例外 | 副詞 | 提案はことごとく却下されました。 | ていあんはことごとくきゃっかされました。 | 提案全遭駁回。
おのずと | おのずと | 自然而然 | 副詞 | 続ければおのずと結果が出ます。 | つづければおのずとけっかがでます。 | 持續下去自然會有結果。
ひいては | ひいては | 進而、乃至 | 副詞 | それは会社、ひいては社会の利益になります。 | それはかいしゃ、ひいてはしゃかいのりえきになります。 | 那對公司乃至社會都有益。
あえて | あえて | 特意、硬要 | 副詞 | あえて厳しいことを言います。 | あえてきびしいことをいいます。 | 我特意說些嚴厲的話。

# === 增補批次 1 ===
# --- 名詞：抽象概念 ---
理念 | りねん | 理念 | 名詞 | 会社の理念に共感して入社しました。 | かいしゃのりねんにきょうかんしてにゅうしゃしました。 | 認同公司理念而進了公司。
信念 | しんねん | 信念 | 名詞 | 彼は強い信念を持っています。 | かれはつよいしんねんをもっています。 | 他有堅定的信念。
価値観 | かちかん | 價值觀 | 名詞 | 世代によって価値観が異なります。 | せだいによってかちかんがことなります。 | 價值觀因世代而異。
観点 | かんてん | 觀點 | 名詞 | 別の観点から問題を捉えます。 | べつのかんてんからもんだいをとらえます。 | 從不同觀點看待問題。
視点 | してん | 視角 | 名詞 | 子供の視点で物事を見ます。 | こどものしてんでものごとをみます。 | 用孩子的視角看事情。
見解 | けんかい | 見解 | 名詞 | 政府の公式見解が発表されました。 | せいふのこうしきけんかいがはっぴょうされました。 | 政府發表了官方見解。
主旨 | しゅし | 主旨 | 名詞 | 発言の主旨がよく分かりません。 | はつげんのしゅしがよくわかりません。 | 不太明白發言的主旨。
趣旨 | しゅし | 宗旨、意圖 | 名詞 | この会の趣旨を説明します。 | このかいのしゅしをせつめいします。 | 說明這個會的宗旨。
本音 | ほんね | 真心話 | 名詞 | なかなか本音を言いません。 | なかなかほんねをいいません。 | 遲遲不肯說真心話。
建前 | たてまえ | 場面話、原則 | 名詞 | それは建前で、実情は違います。 | それはたてまえで、じつじょうはちがいます。 | 那是場面話，實情不同。
概略 | がいりゃく | 概略 | 名詞 | 計画の概略をお話しします。 | けいかくのがいりゃくをおはなしします。 | 說明計畫的大概。
要旨 | ようし | 要旨 | 名詞 | 論文の要旨を一枚にまとめます。 | ろんぶんのようしをいちまいにまとめます。 | 把論文要旨整理成一頁。
本質的 | ほんしつてき | 本質上的 | 名詞 | 本質的な解決にはなっていません。 | ほんしつてきなかいけつにはなっていません。 | 沒有從根本上解決。
矛盾 | むじゅん | 矛盾 | 名詞 | 制度そのものに矛盾を抱えています。 | せいどそのものにむじゅんをかかえています。 | 制度本身就存在矛盾。
根底 | こんてい | 根本、基礎 | 名詞 | その考えを根底から覆す発見でした。 | そのかんがえをこんていからくつがえすはっけんでした。 | 是徹底推翻那個想法的發現。
枠組み | わくぐみ | 框架 | 名詞 | 新しい制度の枠組みを作ります。 | あたらしいせいどのわくぐみをつくります。 | 建立新制度的框架。
体系 | たいけい | 體系 | 名詞 | 知識を体系的に整理します。 | ちしきをたいけいてきにせいりします。 | 有系統地整理知識。
概念上 | がいねんじょう | 概念上 | 名詞 | 概念上は理解できても、実践は難しい。 | がいねんじょうはりかいできても、じっせんはむずかしい。 | 概念上懂了，實踐仍難。
定義 | ていぎ | 定義 | 名詞 | 言葉の定義をはっきりさせます。 | ことばのていぎをはっきりさせます。 | 明確界定詞語的定義。
象徴 | しょうちょう | 象徵 | 名詞 | 鳩は平和の象徴です。 | はとはへいわのしょうちょうです。 | 鴿子是和平的象徵。

# --- 名詞：社會・情勢 ---
動向 | どうこう | 動向 | 名詞 | 市場の動向を注視しています。 | しじょうのどうこうをちゅうしています。 | 密切關注市場動向。
情勢 | じょうせい | 情勢 | 名詞 | 国際情勢は不安定です。 | こくさいじょうせいはふあんていです。 | 國際情勢不穩定。
局面 | きょくめん | 局面 | 名詞 | 交渉は新たな局面を迎えました。 | こうしょうはあらたなきょくめんをむかえました。 | 談判進入新局面。
過渡期 | かとき | 過渡期 | 名詞 | 業界は今、過渡期にあります。 | ぎょうかいはいま、かときにあります。 | 業界正處於過渡期。
転換 | てんかん | 轉變、轉換 | 名詞 | 発想の転換が必要です。 | はっそうのてんかんがひつようです。 | 需要轉換思維。
基調 | きちょう | 基調 | 名詞 | 会議は協調を基調に進みました。 | かいぎはきょうちょうをきちょうにすすみました。 | 會議以協調為基調進行。
是非 | ぜひ | 是非、可否 | 名詞 | 計画の是非を慎重に議論します。 | けいかくのぜひをしんちょうにぎろんします。 | 慎重討論計畫的可否。
格差 | かくさ | 差距、落差 | 名詞 | 都市と地方の格差が広がっています。 | としとちほうのかくさがひろがっています。 | 城鄉差距在擴大。
偏り | かたより | 偏頗、不均 | 名詞 | 報道に偏りがあると批判されました。 | ほうどうにかたよりがあるとひはんされました。 | 報導被批評有失偏頗。
恩恵 | おんけい | 恩惠、好處 | 名詞 | 技術の進歩の恩恵を受けています。 | ぎじゅつのしんぽのおんけいをうけています。 | 享受著技術進步的好處。
代償 | だいしょう | 代價 | 名詞 | 成功には大きな代償が伴いました。 | せいこうにはおおきなだいしょうがともないました。 | 成功伴隨著巨大代價。
犠牲 | ぎせい | 犧牲 | 名詞 | 家族との時間を犠牲にしてきました。 | かぞくとのじかんをぎせいにしてきました。 | 一直犧牲與家人相處的時間。
負担 | ふたん | 負擔 | 名詞 | 制度改正で国民の負担が増えます。 | せいどかいせいでこくみんのふたんがふえます。 | 制度修改使國民負擔加重。
需給 | じゅきゅう | 供需 | 名詞 | 電力の需給が逼迫しています。 | でんりょくのじゅきゅうがひっぱくしています。 | 電力供需吃緊。
均衡 | きんこう | 均衡 | 名詞 | 財政の均衡を保つ努力をします。 | ざいせいのきんこうをたもつどりょくをします。 | 努力維持財政均衡。
枠 | わく | 框、限額 | 名詞 | 予算の枠内で収めます。 | よさんのわくないでおさめます。 | 控制在預算範圍內。
水準 | すいじゅん | 水準 | 名詞 | 生活水準が大きく向上しました。 | せいかつすいじゅんがおおきくこうじょうしました。 | 生活水準大幅提升。

# --- 動詞 ---
図る | はかる | 謀求、力圖 | 動詞 | 業務の効率化を図ります。 | ぎょうむのこうりつかをはかります。 | 力求業務效率化。
講じる | こうじる | 採取（措施） | 動詞 | 安全対策を講じる必要があります。 | あんぜんたいさくをこうじるひつようがあります。 | 有必要採取安全措施。
臨む | のぞむ | 面臨、出席 | 動詞 | 万全の準備で試験に臨みます。 | ばんぜんのじゅんびでしけんにのぞみます。 | 以萬全準備應考。
掲げる | かかげる | 揭示、標榜 | 動詞 | 環境保護を目標に掲げています。 | かんきょうほごをもくひょうにかかげています。 | 標榜以環境保護為目標。
唱える | となえる | 提倡、主張 | 動詞 | 学者が新しい説を唱えました。 | がくしゃがあたらしいせつをとなえました。 | 學者提出了新學說。
問う | とう | 質問、追究 | 動詞 | 責任の所在を問います。 | せきにんのしょざいをといます。 | 追究責任的歸屬。
募る | つのる | 加劇、募集 | 動詞 | 不安が日ごとに募ります。 | ふあんがひごとにつのります。 | 不安一天天加劇。
補完する | ほかんする | 補足、補全 | 動詞 | 資料を補完して再提出します。 | しりょうをほかんしてさいていしゅつします。 | 補全資料後重新提交。
是正する | ぜせいする | 糾正 | 動詞 | 不均衡を是正する措置を取ります。 | ふきんこうをぜせいするそちをとります。 | 採取糾正失衡的措施。
遂げる | とげる | 達成、完成 | 動詞 | 彼は目覚ましい成長を遂げました。 | かれはめざましいせいちょうをとげました。 | 他取得了驚人的成長。
極める | きわめる | 達到極致、鑽研 | 動詞 | その道を極めた職人です。 | そのみちをきわめたしょくにんです。 | 是鑽研該領域到極致的匠人。
及ぼす | およぼす | 波及、造成 | 動詞 | 地域経済に深刻な影響を及ぼします。 | ちいきけいざいにしんこくなえいきょうをおよぼします。 | 對地方經濟造成嚴重影響。
伴う | ともなう | 伴隨 | 動詞 | 改革には痛みが伴います。 | かいかくにはいたみがともないます。 | 改革伴隨著陣痛。
帯びる | おびる | 帶有、負有 | 動詞 | 議論が現実味を帯びてきました。 | ぎろんがげんじつみをおびてきました。 | 討論開始有了現實感。
即す | そくす | 依照、切合 | 動詞 | 実情に即した対応を求めます。 | じつじょうにそくしたたいおうをもとめます。 | 要求切合實情的應對。
基づける | もとづける | 使基於 | 動詞 | 判断を客観的な事実に基づけます。 | はんだんをきゃっかんてきなじじつにもとづけます。 | 讓判斷以客觀事實為依據。
見極める | みきわめる | 看清、判明 | 動詞 | 相手の真意を見極めます。 | あいてのしんいをみきわめます。 | 看清對方的真意。
見据える | みすえる | 著眼、正視 | 動詞 | 十年先を見据えて計画を立てます。 | じゅうねんさきをみすえてけいかくをたてます。 | 著眼十年後來制定計畫。
踏まえる | ふまえる | 根據、依據 | 動詞 | 前回の反省を踏まえて改善します。 | ぜんかいのはんせいをふまえてかいぜんします。 | 根據上次的檢討加以改善。
見合わせる | みあわせる | 暫緩、對看 | 動詞 | 悪天候のため出発を見合わせます。 | あくてんこうのためしゅっぱつをみあわせます。 | 因天候不佳暫緩出發。
取り計らう | とりはからう | 妥善安排 | 動詞 | ご希望に沿うよう取り計らいます。 | ごきぼうにそうようとりはからいます。 | 會設法配合您的要求。
差し支える | さしつかえる | 有妨礙、不方便 | 動詞 | 明日の業務に差し支えます。 | あしたのぎょうむにさしつかえます。 | 會影響明天的工作。
和らげる | やわらげる | 緩和、減輕 | 動詞 | 薬で痛みを和らげます。 | くすりでいたみをやわらげます。 | 用藥緩解疼痛。
強いられる | しいられる | 被迫 | 動詞 | 長時間の待機を強いられました。 | ちょうじかんのたいきをしいられました。 | 被迫長時間待命。
差し迫る | さしせまる | 迫近 | 動詞 | 締め切りが差し迫っています。 | しめきりがさしせまっています。 | 截止日迫在眉睫。
食い違う | くいちがう | 有出入、不一致 | 動詞 | 二人の証言が食い違っています。 | ふたりのしょうげんがくいちがっています。 | 兩人的證詞有出入。
噛み合う | かみあう | 相互契合、對上 | 動詞 | 議論がなかなか噛み合いません。 | ぎろんがなかなかかみあいません。 | 討論一直對不上焦點。
食い止める | くいとめる | 遏止、阻止 | 動詞 | 被害の拡大を食い止めました。 | ひがいのかくだいをくいとめました。 | 遏止了災情擴大。
乗り越える | のりこえる | 克服、跨越 | 動詞 | 数々の困難を乗り越えてきました。 | かずかずのこんなんをのりこえてきました。 | 克服了重重困難。
浮き彫りにする | うきぼりにする | 使凸顯 | 動詞 | 調査は問題点を浮き彫りにしました。 | ちょうさはもんだいてんをうきぼりにしました。 | 調查凸顯了問題點。

# --- 形容詞・形容動詞 ---
好ましい | このましい | 理想的、可取的 | 形容詞（い形） | 早期の解決が好ましいです。 | そうきのかいけつがこのましいです。 | 及早解決比較好。
乏しい | とぼしい | 匱乏的 | 形容詞（い形） | 資源に乏しい国です。 | しげんにとぼしいくにです。 | 是資源匱乏的國家。
根強い | ねづよい | 根深蒂固的 | 形容詞（い形） | 古い慣習が根強く残っています。 | ふるいかんしゅうがねづよくのこっています。 | 舊習俗根深蒂固地留存著。
名高い | なだかい | 有名的 | 形容詞（い形） | 職人技で名高い町です。 | しょくにんわざでなだかいまちです。 | 是以工匠技藝聞名的城鎮。
そっけない | そっけない | 冷淡的 | 形容詞（い形） | そっけない返事にがっかりしました。 | そっけないへんじにがっかりしました。 | 對冷淡的回覆感到失望。
柔軟 | じゅうなん | 靈活 | 形容動詞（な形） | 柔軟な対応が求められます。 | じゅうなんなたいおうがもとめられます。 | 需要靈活的應對。
厳密 | げんみつ | 嚴密、嚴格 | 形容動詞（な形） | 厳密に言うと、それは正しくありません。 | げんみつにいうと、それはただしくありません。 | 嚴格來說，那並不正確。
不可解 | ふかかい | 費解、莫名其妙 | 形容動詞（な形） | 彼の行動は不可解です。 | かれのこうどうはふかかいです。 | 他的行為令人費解。
妥当 | だとう | 妥當 | 形容動詞（な形） | 妥当な結論に落ち着きました。 | だとうなけつろんにおちつきました。 | 得出了妥當的結論。
理不尽 | りふじん | 不講理、無理 | 形容動詞（な形） | 理不尽な要求は断ります。 | りふじんなようきゅうはことわります。 | 拒絕無理的要求。
綿密 | めんみつ | 縝密 | 形容動詞（な形） | 綿密な計画を立てました。 | めんみつなけいかくをたてました。 | 制定了縝密的計畫。

# --- 副詞 ---
概して | がいして | 大體上 | 副詞 | 今年の作物は概して出来がいいです。 | ことしのさくもつはがいしてできがいいです。 | 今年的作物大體上收成不錯。
総じて | そうじて | 總的來說 | 副詞 | 総じて評価は高かったです。 | そうじてひょうかはたかかったです。 | 總的來說評價很高。
ひたすら | ひたすら | 一味地、拼命 | 副詞 | ひたすら完成を目指しました。 | ひたすらかんせいをめざしました。 | 一心一意朝完成邁進。
ことのほか | ことのほか | 格外、意外地 | 副詞 | 今年の冬はことのほか寒いです。 | ことしのふゆはことのほかさむいです。 | 今年冬天格外冷。
かねてより | かねてより | 事先、老早 | 副詞 | かねてよりの計画をついに実行します。 | かねてよりのけいかくをついにじっこうします。 | 終於要執行醞釀已久的計畫。
とかく | とかく | 動輒、往往 | 副詞 | 人はとかく他人と比べたがります。 | ひとはとかくたにんとくらべたがります。 | 人往往愛跟別人比較。
なにしろ | なにしろ | 畢竟、總之 | 副詞 | なにしろ経験がないので不安です。 | なにしろけいけんがないのでふあんです。 | 畢竟沒經驗，很不安。
いかにも | いかにも | 的確、實在 | 副詞 | いかにも彼らしい答えです。 | いかにもかれらしいこたえです。 | 這回答實在很有他的風格。
ひとまず | ひとまず | 暫且 | 副詞 | ひとまずここで休憩しましょう。 | ひとまずここできゅうけいしましょう。 | 暫且在這裡休息吧。
あたかも | あたかも | 宛如 | 副詞 | あたかも自分が体験したかのように話す。 | あたかもじぶんがたいけんしたかのようにはなす。 | 說得宛如自己親身經歷過。

# === 增補批次 2 ===
# --- 名詞 ---
発足 | ほっそく | 成立、啟動 | 名詞 | 新しい委員会が発足しました。 | あたらしいいいんかいがほっそくしました。 | 新的委員會成立了。
着手 | ちゃくしゅ | 著手 | 名詞 | 工事は来春に着手する予定です。 | こうじはらいしゅんにちゃくしゅするよていです。 | 工程預計明年春天動工。
定着 | ていちゃく | 定型、固定下來 | 名詞 | 在宅勤務が社会に定着しました。 | ざいたくきんむがしゃかいにていちゃくしました。 | 居家辦公在社會上定型了。
浸透 | しんとう | 滲透、普及 | 名詞 | 新しい価値観が若者に浸透しています。 | あたらしいかちかんがわかものにしんとうしています。 | 新的價值觀正滲透到年輕人之間。
普及 | ふきゅう | 普及 | 名詞 | スマホの普及で生活が変わりました。 | スマホのふきゅうでせいかつがかわりました。 | 智慧型手機的普及改變了生活。
促進 | そくしん | 促進 | 名詞 | 輸出の促進策を打ち出しました。 | ゆしゅつのそくしんさくをうちだしました。 | 提出了促進出口的方案。
抑制 | よくせい | 抑制 | 名詞 | 感染の抑制に全力を挙げます。 | かんせんのよくせいにぜんりょくをあげます。 | 全力抑制疫情。
緩和 | かんわ | 緩和、放寬 | 名詞 | 規制の緩和が議論されています。 | きせいのかんわがぎろんされています。 | 正在討論放寬管制。
是認 | ぜにん | 認可、承認 | 名詞 | その行為を是認するわけにはいきません。 | そのこういをぜにんするわけにはいきません。 | 不能認可那種行為。
容認 | ようにん | 容許、默許 | 名詞 | 例外の容認は慎重にすべきです。 | れいがいのようにんはしんちょうにすべきです。 | 應慎重看待例外的容許。
排除 | はいじょ | 排除 | 名詞 | あらゆる偏見の排除を目指します。 | あらゆるへんけんのはいじょをめざします。 | 力求排除一切偏見。
干渉 | かんしょう | 干涉 | 名詞 | 他国への干渉は控えるべきです。 | たこくへのかんしょうはひかえるべきです。 | 應避免干涉他國。
束縛 | そくばく | 束縛 | 名詞 | 時間の束縛が少ない仕事です。 | じかんのそくばくがすくないしごとです。 | 是時間束縛少的工作。
妥結 | だけつ | 達成協議 | 名詞 | 交渉は深夜に妥結しました。 | こうしょうはしんやにだけつしました。 | 談判在深夜達成協議。
決裂 | けつれつ | 破裂、談崩 | 名詞 | 交渉は決裂に終わりました。 | こうしょうはけつれつにおわりました。 | 談判以破裂收場。
譲歩 | じょうほ | 讓步 | 名詞 | 双方が譲歩して合意しました。 | そうほうがじょうほしてごういしました。 | 雙方讓步達成了共識。
発端 | ほったん | 開端、起因 | 名詞 | ささいな誤解が争いの発端でした。 | ささいなごかいがあらそいのほったんでした。 | 小小的誤會是爭執的起因。
経緯 | けいい | 來龍去脈、經過 | 名詞 | 事件の経緯を詳しく説明します。 | じけんのけいいをくわしくせつめいします。 | 詳細說明事件的來龍去脈。
顛末 | てんまつ | 始末、原委 | 名詞 | 事の顛末を報告書にまとめました。 | もののてんまつをほうこくしょにまとめました。 | 把事情的原委寫成報告。
帰結 | きけつ | 結果、歸結 | 名詞 | それは当然の帰結と言えます。 | それはとうぜんのきけつといえます。 | 可以說那是理所當然的結果。
波及 | はきゅう | 波及 | 名詞 | 影響は他業界にも波及しました。 | えいきょうはたぎょうかいにもはきゅうしました。 | 影響波及到其他業界。
連鎖 | れんさ | 連鎖 | 名詞 | 倒産の連鎖が心配されます。 | とうさんのれんさがしんぱいされます。 | 令人擔心倒閉的連鎖效應。
相乗効果 | そうじょうこうか | 加乘效果 | 名詞 | 二つの施策の相乗効果を狙います。 | ふたつのしさくのそうじょうこうかをねらいます。 | 期待兩項措施的加乘效果。
兼ね合い | かねあい | 平衡、拿捏 | 名詞 | 安全と効率の兼ね合いが難しいです。 | あんぜんとこうりつのかねあいがむずかしいです。 | 安全與效率的拿捏很難。
折り合い | おりあい | 妥協、相處 | 名詞 | 双方が折り合いをつけました。 | そうほうがおりあいをつけました。 | 雙方達成了妥協。
歩み寄り | あゆみより | 相互靠攏、讓步 | 名詞 | 解決には双方の歩み寄りが必要です。 | かいけつにはそうほうのあゆみよりがひつようです。 | 解決需要雙方各退一步。
足並み | あしなみ | 步調 | 名詞 | 参加国の足並みがそろいません。 | さんかこくのあしなみがそろいません。 | 參與國步調不一致。
布石 | ふせき | 事前部署、鋪路 | 名詞 | これは次の展開への布石です。 | これはつぎのてんかいへのふせきです。 | 這是為下一步鋪的路。
糸口 | いとぐち | 線索、頭緒 | 名詞 | 解決の糸口がようやく見えてきました。 | かいけつのいとぐちがようやくみえてきました。 | 終於看到解決的頭緒。
突破口 | とっぱこう | 突破口 | 名詞 | 新技術が問題の突破口になりました。 | しんぎじゅつがもんだいのとっぱこうになりました。 | 新技術成了問題的突破口。
岐路 | きろ | 岔路、關鍵時刻 | 名詞 | 会社は今、大きな岐路に立っています。 | かいしゃはいま、おおきなきろにたっています。 | 公司正處於重大的十字路口。
節目 | ふしめ | 階段、轉折點 | 名詞 | 創立五十周年という節目を迎えます。 | そうりつごじゅっしゅうねんというふしめをむかえます。 | 迎來創立五十週年的里程碑。
土台 | どだい | 地基、基礎 | 名詞 | 信頼が協力関係の土台です。 | しんらいがきょうりょくかんけいのどだいです。 | 信任是合作關係的基礎。
柱 | はしら | 支柱、核心 | 名詞 | 観光がこの町の経済の柱です。 | かんこうがこのまちのけいざいのはしらです。 | 觀光是這座城鎮經濟的支柱。
軸 | じく | 軸心、核心 | 名詞 | 環境を軸に政策を組み立てます。 | かんきょうをじくにせいさくをくみたてます。 | 以環境為核心制定政策。

# --- 動詞 ---
築く | きずく | 建立、構築 | 動詞 | 長い年月をかけて信頼を築きました。 | ながいねんげつをかけてしんらいをきずきました。 | 花了很長時間建立信任。
担う | になう | 承擔、擔負 | 動詞 | 次の世代を担う人材を育てます。 | つぎのせだいをになうじんざいをそだてます。 | 培養承擔下一代的人才。
委ねる | ゆだねる | 委託、託付 | 動詞 | 判断は現場に委ねます。 | はんだんはげんばにゆだねます。 | 把判斷交給現場。
託す | たくす | 託付 | 動詞 | 夢を次の世代に託します。 | ゆめをつぎのせだいにたくします。 | 把夢想託付給下一代。
還元する | かんげんする | 回饋 | 動詞 | 利益を社会に還元します。 | りえきをしゃかいにかんげんします。 | 把利潤回饋社會。
甘んじる | あまんじる | 甘於、忍受 | 動詞 | 現状に甘んじるつもりはありません。 | げんじょうにあまんじるつもりはありません。 | 我不打算安於現狀。
値する | あたいする | 值得 | 動詞 | その功績は称賛に値します。 | そのこうせきはしょうさんにあたいします。 | 那份功績值得讚揚。
準ずる | じゅんずる | 比照、依照 | 動詞 | 待遇は正社員に準じます。 | たいぐうはせいしゃいんにじゅんじます。 | 待遇比照正職員工。
先立つ | さきだつ | 先於、事先 | 動詞 | 開会に先立ち、黙祷を捧げます。 | かいかいにさきだち、もくとうをささげます。 | 開會前先默哀。
相次ぐ | あいつぐ | 接連發生 | 動詞 | 事故が相次いで起きました。 | じこがあいついでおきました。 | 事故接連發生。
偏る | かたよる | 偏頗、偏向 | 動詞 | 栄養が偏らないよう気をつけます。 | えいようがかたよらないようきをつけます。 | 注意營養不要偏頗。
隔てる | へだてる | 隔開、相隔 | 動詞 | 二国は海を隔てて向かい合っています。 | にこくはうみをへだててむかいあっています。 | 兩國隔海相望。
遮る | さえぎる | 遮擋、打斷 | 動詞 | 話を遮って申し訳ありません。 | はなしをさえぎってもうしわけありません。 | 抱歉打斷你的話。
覆う | おおう | 覆蓋、籠罩 | 動詞 | 濃い霧が街全体を覆いました。 | こいきりがまちぜんたいをおおいました。 | 濃霧籠罩了整座城市。
染みる | しみる | 滲入、刺痛 | 動詞 | 親切が身に染みました。 | しんせつがみにしみました。 | 那份善意深深打動了我。
潜む | ひそむ | 潛藏 | 動詞 | 便利さの陰に危険が潜んでいます。 | べんりさのかげにきけんがひそんでいます。 | 便利的背後潛藏著危險。
秘める | ひめる | 隱藏、蘊含 | 動詞 | 彼は大きな可能性を秘めています。 | かれはおおきなかのうせいをひめています。 | 他蘊含著巨大的潛力。
募らせる | つのらせる | 使加劇 | 動詞 | 返事がなく不信感を募らせました。 | へんじがなくふしんかんをつのらせました。 | 沒有回覆，加深了不信任感。
和む | なごむ | 平靜、緩和 | 動詞 | 子供の笑顔に心が和みます。 | こどものえがおにこころがなごみます。 | 孩子的笑容讓人心情平靜。
弾む | はずむ | 彈跳、（談話）熱絡 | 動詞 | 久しぶりに会って話が弾みました。 | ひさしぶりにあってはなしがはずみました。 | 久別重逢，聊得很起勁。
