# 情境會話   格式： 場景 | 日文 | 假名 | 中文 | 備註(可空)
# 自由行實用單字與句子。編輯後執行 python scripts/build_data.py，新增請加在檔案末端。

# --- 寒暄・基本 ---
基本 | すみません。 | すみません。 | 不好意思／謝謝。 | 叫住店員、道歉、道謝都能用，最萬用
住宿・問題 | 隣の部屋がうるさいです。 | となりのへやがうるさいです。 | 隔壁房間很吵。 |
住宿・問題 | タオルをもう一枚もらえますか。 | タオルをもういちまいもらえますか。 | 可以再給我一條毛巾嗎？ |
住宿・問題 | 部屋の掃除をお願いします。 | へやのそうじをおねがいします。 | 麻煩打掃房間。 |
住宿・問題 | 近くにコンビニはありますか。 | ちかくにコンビニはありますか。 | 附近有便利商店嗎？ |
住宿・問題 | タクシーを呼んでもらえますか。 | タクシーをよんでもらえますか。 | 可以幫我叫計程車嗎？ |

# --- 餐飲・進店與點餐 ---
餐飲・點餐 | 二人です。 | ふたりです。 | 兩位。 | 店員問人數時
餐飲・點餐 | 席は空いていますか。 | せきはあいていますか。 | 有位子嗎？ |
餐飲・點餐 | どのくらい待ちますか。 | どのくらいまちますか。 | 要等多久？ |
餐飲・點餐 | 禁煙席でお願いします。 | きんえんせきでおねがいします。 | 麻煩非吸菸區。 |
餐飲・點餐 | メニューを見せてください。 | メニューをみせてください。 | 請給我看菜單。 |
餐飲・點餐 | おすすめは何ですか。 | おすすめはなんですか。 | 有什麼推薦的？ |
餐飲・點餐 | これをください。 | これをください。 | 請給我這個。 | 指著菜單說
餐飲・點餐 | 同じものをください。 | おなじものをください。 | 請給我一樣的。 |
餐飲・點餐 | 辛くしないでください。 | からくしないでください。 | 請不要做辣。 |
餐飲・點餐 | パクチー抜きでお願いします。 | パクチーぬきでおねがいします。 | 請不要加香菜。 |
餐飲・點餐 | アレルギーがあります。卵は入っていますか。 | アレルギーがあります。たまごははいっていますか。 | 我會過敏，這有加蛋嗎？ |
餐飲・點餐 | 取り皿をもらえますか。 | とりざらをもらえますか。 | 可以給我小盤子嗎？ |
餐飲・點餐 | 注文いいですか。 | ちゅうもんいいですか。 | 可以點餐了嗎？ | 主動叫店員來點餐

# --- 餐飲・用餐中 ---
餐飲・用餐 | お水をもらえますか。 | おみずをもらえますか。 | 可以給我水嗎？ |
餐飲・用餐 | これは頼んでいません。 | これはたのんでいません。 | 這個我沒有點。 |
餐飲・用餐 | まだ来ていない料理があります。 | まだきていないりょうりがあります。 | 有一道菜還沒上。 |
餐飲・用餐 | 取り分けてもいいですか。 | とりわけてもいいですか。 | 可以分著吃嗎？ |
餐飲・用餐 | すみません、フォークはありますか。 | すみません、フォークはありますか。 | 不好意思，有叉子嗎？ |
餐飲・用餐 | 持ち帰りできますか。 | もちかえりできますか。 | 吃不完可以打包嗎？ | 日本很多店不提供打包
餐飲・用餐 | ごちそうさまでした。 | ごちそうさまでした。 | 我吃飽了／謝謝招待。 | 用餐後說

# --- 餐飲・結帳 ---
餐飲・結帳 | お会計をお願いします。 | おかいけいをおねがいします。 | 麻煩結帳。 |
餐飲・結帳 | 会計は別々でお願いします。 | かいけいはべつべつでおねがいします。 | 我們分開付。 |
餐飲・結帳 | カードは使えますか。 | カードはつかえますか。 | 可以刷卡嗎？ |
餐飲・結帳 | ここで払いますか、レジで払いますか。 | ここではらいますか、レジではらいますか。 | 是在座位付還是櫃檯付？ |
餐飲・結帳 | 領収書をください。宛名は空欄でお願いします。 | りょうしゅうしょをください。あてなはくうらんでおねがいします。 | 請給我收據，抬頭空白就好。 |

# --- 購物・詢問 ---
購物 | 試着してもいいですか。 | しちゃくしてもいいですか。 | 可以試穿嗎？ |
購物 | もっと大きいサイズはありますか。 | もっとおおきいサイズはありますか。 | 有更大的尺寸嗎？ |
購物 | 別の色はありますか。 | べつのいろはありますか。 | 有別的顏色嗎？ |
購物 | これはいくらですか。 | これはいくらですか。 | 這個多少錢？ |
購物 | 全部でいくらですか。 | ぜんぶでいくらですか。 | 全部多少錢？ |
購物 | 少し安くなりませんか。 | すこしやすくなりませんか。 | 可以便宜一點嗎？ | 一般連鎖店不能殺價
購物 | ちょっと見ているだけです。 | ちょっとみているだけです。 | 我只是看看。 | 店員來招呼時
購物 | これください。 | これください。 | 我要買這個。 |
購物 | 別々に包んでもらえますか。 | べつべつにつつんでもらえますか。 | 可以分開包嗎？ |
購物 | 袋をもう一枚もらえますか。 | ふくろをもういちまいもらえますか。 | 可以多給一個袋子嗎？ |
購物 | プレゼント用に包んでください。 | プレゼントようにつつんでください。 | 請幫我包成禮物。 |

# --- 購物・退稅 ---
退稅 | 免税でお願いします。 | めんぜいでおねがいします。 | 我要退稅。 |
退稅 | パスポートはこれです。 | パスポートはこれです。 | 這是我的護照。 |
退稅 | 免税カウンターはどこですか。 | めんぜいカウンターはどこですか。 | 退稅櫃檯在哪裡？ |
退稅 | 税込みでいくらですか。 | ぜいこみでいくらですか。 | 含稅多少錢？ |
退稅 | まとめて会計してもらえますか。 | まとめてかいけいしてもらえますか。 | 可以一起結帳嗎？ | 湊滿免稅門檻

# --- 藥妝店 ---
藥妝店 | 頭痛に効く薬はありますか。 | ずつうにきくくすりはありますか。 | 有治頭痛的藥嗎？ |
藥妝店 | 胃薬をください。 | いぐすりをください。 | 請給我胃藥。 |
藥妝店 | 風邪薬はどこですか。 | かぜぐすりはどこですか。 | 感冒藥在哪裡？ |
藥妝店 | 絆創膏はありますか。 | ばんそうこうはありますか。 | 有 OK 繃嗎？ |
藥妝店 | 日焼け止めを探しています。 | ひやけどめをさがしています。 | 我在找防曬乳。 |
藥妝店 | 一日に何回飲みますか。 | いちにちになんかいのみますか。 | 一天要吃幾次？ |

# --- 便利商店 ---
便利商店 | 温めてください。 | あたためてください。 | 請幫我加熱。 |
便利商店 | 温めなくていいです。 | あたためなくていいです。 | 不用加熱。 |
便利商店 | 袋はいりません。 | ふくろはいりません。 | 不用袋子。 |
便利商店 | 袋をください。 | ふくろをください。 | 請給我袋子。 |
便利商店 | お箸をつけてください。 | おはしをつけてください。 | 請附筷子。 |
便利商店 | ここで食べていいですか。 | ここでたべていいですか。 | 可以在這裡吃嗎？ |
便利商店 | このチケットを受け取りたいです。 | このチケットをうけとりたいです。 | 我要領這張票。 | 超商取票
便利商店 | 荷物を送りたいです。 | にもつをおくりたいです。 | 我想寄行李。 | 宅配便

# --- 問路 ---
問路 | この住所はどこですか。 | このじゅうしょはどこですか。 | 這個地址在哪裡？ | 出示手機
問路 | 駅までどうやって行きますか。 | えきまでどうやっていきますか。 | 到車站要怎麼走？ |
問路 | ここから歩いてどのくらいですか。 | ここからあるいてどのくらいですか。 | 從這裡走路要多久？ |
問路 | 近くにトイレはありますか。 | ちかくにトイレはありますか。 | 附近有廁所嗎？ | 更禮貌可說「お手洗い」
問路 | 道に迷いました。 | みちにまよいました。 | 我迷路了。 |
問路 | 地図で教えてもらえますか。 | ちずでおしえてもらえますか。 | 可以在地圖上指給我看嗎？ |
問路 | まっすぐですか、それとも曲がりますか。 | まっすぐですか、それともまがりますか。 | 是直走還是要轉彎？ |

# --- 緊急・生病 ---
緊急・生病 | 気分が悪いです。 | きぶんがわるいです。 | 我不舒服。 |
緊急・生病 | 熱があります。 | ねつがあります。 | 我發燒了。 |
緊急・生病 | お腹が痛いです。 | おなかがいたいです。 | 我肚子痛。 |
緊急・生病 | 病院に連れて行ってください。 | びょういんにつれていってください。 | 請帶我去醫院。 |
緊急・生病 | 近くに病院はありますか。 | ちかくにびょういんはありますか。 | 附近有醫院嗎？ |
緊急・生病 | 救急車を呼んでください。 | きゅうきゅうしゃをよんでください。 | 請叫救護車。 |
緊急・生病 | 薬アレルギーがあります。 | くすりアレルギーがあります。 | 我對藥物過敏。 |
緊急・生病 | 保険に入っています。 | ほけんにはいっています。 | 我有保險。 |

# --- 緊急・遺失與報警 ---
緊急・遺失 | 財布をなくしました。 | さいふをなくしました。 | 我的錢包不見了。 |
緊急・遺失 | パスポートをなくしました。 | パスポートをなくしました。 | 我的護照不見了。 |
緊急・遺失 | 電車に荷物を忘れました。 | でんしゃににもつをわすれました。 | 我把行李忘在電車上了。 |
緊急・遺失 | 落とし物センターはどこですか。 | おとしものセンターはどこですか。 | 失物招領處在哪裡？ |
緊急・遺失 | 警察を呼んでください。 | けいさつをよんでください。 | 請幫我報警。 |
緊急・遺失 | 盗まれました。 | ぬすまれました。 | 我被偷了。 |
緊急・遺失 | 台湾の大使館に連絡したいです。 | たいわんのたいしかんにれんらくしたいです。 | 我想聯絡台灣的辦事處。 | 日本為「台北駐日経済文化代表処」
緊急・遺失 | 助けてください。 | たすけてください。 | 請幫幫我。 |
