# JLPT N4 文法   格式： 句型 | 讀音 | 中文意思 | 接續結構 | 例句 | 例句假名 | 例句中譯

～たことがあります |  | 「曾經～過」表示經驗 | 動詞た形＋ことがあります | 富士山に登ったことがあります。 | ふじさんにのぼったことがあります。 | 曾經爬過富士山。
～たり～たりします |  | 「又是～又是～」列舉部分動作 | 動詞た形＋り＋動詞た形＋り＋します | 休みの日は掃除したり洗濯したりします。 | やすみのひはそうじしたりせんたくしたりします。 | 假日又是打掃又是洗衣。
～と（條件） |  | 「一～就～」（必然・自然結果） | 動詞・形容詞普通形＋と | このボタンを押すと、ドアが開きます。 | このボタンをおすと、ドアがひらきます。 | 一按這個鈕，門就會開。
～ば（假定） |  | 「如果～就～」 | 動詞ば形／い形（去い）＋ければ | 安ければ買います。 | やすければかいます。 | 如果便宜就買。
～たら |  | 「如果～、～之後」 | 動詞・形容詞・名詞た形＋ら | 家に着いたら、電話します。 | いえについたら、でんわします。 | 到家後打電話給你。
～なら |  | 「如果是～的話」（針對話題提建議） | 名詞／普通形＋なら | 日本語を勉強するなら、この本がいいです。 | にほんごをべんきょうするなら、このほんがいいです。 | 要學日語的話，這本書不錯。
～場合は | ～ばあいは | 「～的情況下」 | 動詞・名詞の＋場合は | 遅れる場合は連絡してください。 | おくれるばあいはれんらくしてください。 | 遲到的話請聯絡。
～てあげます／～てくれます／～てもらいます |  | 授受表現：為別人做／別人為我做／請別人做 | 動詞て形＋あげます／くれます／もらいます | 友達が手伝ってくれました。 | ともだちがてつだってくれました。 | 朋友幫了我。
～受身形（～される） | ～うけみけい | 被動「被～」 | 五段：a＋れる／一段：られる | 先生に褒められました。 | せんせいにほめられました。 | 被老師稱讚了。
～使役形（～させる） | ～しえきけい | 使役「讓／使～」 | 五段：a＋せる／一段：させる | 母は弟に部屋を掃除させました。 | はははおとうとにへやをそうじさせました。 | 媽媽讓弟弟打掃房間。
～なさい |  | 「給我～」（長輩對晚輩的命令） | 動詞ます形＋なさい | 早く起きなさい。 | はやくおきなさい。 | 快點起床。
～そうです（樣態） |  | 「看起來～、快要～」根據外觀判斷 | 動詞ます形／形容詞語幹＋そうです | 雨が降りそうです。 | あめがふりそうです。 | 看起來要下雨了。
～そうです（傳聞） |  | 「聽說～」轉述所聞 | 普通形＋そうです | 田中さんは来月結婚するそうです。 | たなかさんはらいげつけっこんするそうです。 | 聽說田中先生下個月結婚。
～ようです／～みたいです |  | 「好像～」根據觀察的推測 | 普通形（な形＋な／名詞＋の）＋ようです | 誰かいるようです。 | だれかいるようです。 | 好像有人在。
～らしいです |  | 「聽說～、似乎～」根據外部訊息 | 普通形＋らしいです | あの店は今日休みらしいです。 | あのみせはきょうやすみらしいです。 | 那家店今天好像沒開。
～てほしいです |  | 「希望（某人）～」 | 動詞て形＋ほしいです | もっと早く来てほしかったです。 | もっとはやくきてほしかったです。 | 真希望你早點來。
～のがすきです |  | 「喜歡做～」 | 動詞辭書形＋のが＋好きです | 私は本を読むのが好きです。 | わたしはほんをよむのがすきです。 | 我喜歡看書。
～ことにします |  | 「決定～」（說話者自己的決定） | 動詞辭書形／ない形＋ことにします | 毎朝走ることにしました。 | まいあさはしることにしました。 | 我決定每天早上跑步。
～ことになります |  | 「（非個人決定而）決定為～」 | 動詞辭書形／ない形＋ことになります | 来月、大阪に転勤することになりました。 | らいげつ、おおさかにてんきんすることになりました。 | 下個月要調職到大阪。

# === 增補批次 1 ===
～たがる |  | 「（第三人稱）想要～」 | 動詞ます形＋たがる | 弟は何でも自分でやりたがる。 | おとうとはなんでもじぶんでやりたがる。 | 弟弟什麼都想自己做。
～てくれませんか |  | 「能不能為我～？」（客氣請求） | 動詞て形＋くれませんか | ちょっと手伝ってくれませんか。 | ちょっとてつだってくれませんか。 | 能不能幫我一下？
～てもらえませんか |  | 「能否請你～？」（更客氣的請求） | 動詞て形＋もらえませんか | 道を教えてもらえませんか。 | みちをおしえてもらえませんか。 | 能否請你告訴我路怎麼走？
～させてください |  | 「請讓我～」 | 動詞使役て形＋ください | ぜひ私に説明させてください。 | ぜひわたしにせつめいさせてください。 | 請務必讓我來說明。
お～ください |  | 「請～」（尊敬的請求） | お＋動詞ます形＋ください | こちらにお座りください。 | こちらにおすわりください。 | 請坐這邊。
～てもいい？ |  | 「可以～嗎？」（口語許可） | 動詞て形＋もいい | この席、座ってもいいですか。 | このせき、すわってもいいですか。 | 這位子可以坐嗎？
～のように／～のような |  | 「像～一樣」 | 名詞＋の＋ように／ような | 彼女は花のように笑う。 | かのじょははなのようにわらう。 | 她笑得像花一樣。
～まだ～ていません |  | 「還沒～」 | まだ＋動詞て形＋いません | 昼ご飯はまだ食べていません。 | ひるごはんはまだたべていません。 | 還沒吃午餐。


# ===== N4 文法補充（敬語體系為主，加上時態與複合動詞）=====

# --- 尊敬語 ---
お～になる |  | 尊敬語：抬高對方的動作 | お＋動詞ます形（去ます）＋になる | 社長はもうお帰りになりました。 | しゃちょうはもうおかえりになりました。 | 社長已經回去了。
ご～になる |  | 尊敬語（漢語動詞用ご） | ご＋漢語名詞＋になる | 先生がご説明になります。 | せんせいがごせつめいになります。 | 老師會做說明。
～れる／～られる（尊敬） |  | 尊敬語：與被動同形，但表敬意 | 動詞受身形 | 部長はいつ帰られますか。 | ぶちょうはいつかえられますか。 | 部長什麼時候回去呢？
いらっしゃる |  | 特殊尊敬語＝いる／行く／来る | いらっしゃいます／いらっしゃいました | 先生は教室にいらっしゃいます。 | せんせいはきょうしつにいらっしゃいます。 | 老師在教室裡。
おっしゃる |  | 特殊尊敬語＝言う | おっしゃいます（注意不是おっしゃります） | 先生がおっしゃったとおりにしました。 | せんせいがおっしゃったとおりにしました。 | 我照老師說的做了。
なさる |  | 特殊尊敬語＝する | なさいます（注意不是なさります） | 何になさいますか。 | なんになさいますか。 | 您要點什麼呢？
召し上がる |  | 特殊尊敬語＝食べる／飲む | 召し上がります | どうぞ召し上がってください。 | どうぞめしあがってください。 | 請享用。
ご覧になる |  | 特殊尊敬語＝見る | ご覧になります | こちらの資料をご覧になりましたか。 | こちらのしりょうをごらんになりましたか。 | 您看過這份資料了嗎？

# --- 謙讓語 ---
お～する |  | 謙讓語：降低自己的動作以示敬意 | お＋動詞ます形（去ます）＋する | 荷物をお持ちします。 | にもつをおもちします。 | 我來幫您拿行李。
ご～する |  | 謙讓語（漢語動詞用ご） | ご＋漢語名詞＋する | 後ほどご連絡します。 | のちほどごれんらくします。 | 稍後我會與您聯絡。
参る |  | 謙讓語＝行く／来る | 参ります | 明日、そちらへ参ります。 | あした、そちらへまいります。 | 明天我會過去您那邊。
申す・申し上げる |  | 謙讓語＝言う | 申します／申し上げます | 林と申します。よろしくお願いします。 | りんともうします。よろしくおねがいします。 | 敝姓林，請多指教。
いたす |  | 謙讓語＝する | いたします | ご案内いたします。 | ごあんないいたします。 | 由我為您帶路。
拝見する |  | 謙讓語＝見る | 拝見します | メールを拝見しました。 | メールをはいけんしました。 | 我已拜讀您的郵件。
～ていただく |  | 謙讓語：請對方為我做（＝てもらう的謙讓） | 動詞て形＋いただく | 先生に推薦状を書いていただきました。 | せんせいにすいせんじょうをかいていただきました。 | 請老師幫我寫了推薦信。
～ていただけませんか |  | 「能否請您～」最客氣的請求 | 動詞て形＋いただけませんか | もう一度説明していただけませんか。 | もういちどせつめいしていただけませんか。 | 能否請您再說明一次？
～させていただきます |  | 「請容我～」最謙遜的自我動作宣告 | 動詞使役形＋ていただきます | 本日は休ませていただきます。 | ほんじつはやすませていただきます。 | 今天請容我請假。
～でございます |  | 丁寧語＝です（商業場合） | 名詞＋でございます | 受付は二階でございます。 | うけつけはにかいでございます。 | 櫃檯在二樓。

# --- 時間・階段 ---
～間（あいだ） |  | 「～期間一直」持續狀態 | 名詞の／動詞ている＋間 | 夏休みの間、ずっと日本にいました。 | なつやすみのあいだ、ずっとにほんにいました。 | 暑假期間一直待在日本。
～間に |  | 「趁～的時候」期間內發生一次 | 名詞の／動詞ている＋間に | 母が寝ている間に掃除をしました。 | ははがねているあいだにそうじをしました。 | 趁媽媽睡覺時打掃了。
～ところです |  | 「正要～」動作即將開始 | 動詞辭書形＋ところです | 今から出かけるところです。 | いまからでかけるところです。 | 我正要出門。
～たところです |  | 「剛剛～完」動作剛結束 | 動詞た形＋ところです | 今ご飯を食べたところです。 | いまごはんをたべたところです。 | 我剛吃完飯。
～ているところです |  | 「正在～」動作進行中 | 動詞て形＋いるところです | 今、資料を作っているところです。 | いま、しりょうをつくっているところです。 | 我正在做資料。
～まで（持續） |  | 「到～為止一直」 | 名詞／動詞辭書形＋まで | 雨がやむまでここで待ちます。 | あめがやむまでここでまちます。 | 在這裡等到雨停為止。
～ことがあります（頻率） |  | 「有時候會～」 | 動詞辭書形／ない形＋ことがあります | たまに朝ご飯を抜くことがあります。 | たまにあさごはんをぬくことがあります。 | 偶爾會不吃早餐。

# --- 讓步・意志 ---
～ても |  | 「即使～也」 | 動詞て形／い形容詞くて／名詞・な形容詞で＋も | 雨が降っても行きます。 | あめがふってもいきます。 | 就算下雨也要去。
～でも（讓步） |  | 「就算是～也」 | 名詞＋でも | 子供でも分かる問題です。 | こどもでもわかるもんだいです。 | 是連小孩都懂的題目。
～ようと思います |  | 「我打算～」當下的意志 | 動詞意向形＋と思います | 来年、日本へ留学しようと思います。 | らいねん、にほんへりゅうがくしようとおもいます。 | 我打算明年去日本留學。
～ないと |  | 「不～的話（不行）」口語的必須 | 動詞ない形（去い）＋と | もう行かないと。 | もういかないと。 | 該走了（不走不行）。
～って（引用） |  | 口語的引用「說～」＝と | 普通形＋って | 田中さん、来ないって。 | たなかさん、こないって。 | 田中說他不來。

# --- 複合動詞 ---
～出す |  | 「突然開始～」 | 動詞ます形＋出す | 急に赤ちゃんが泣き出しました。 | きゅうにあかちゃんがなきだしました。 | 嬰兒突然哭了起來。
～直す |  | 「重新～一次」 | 動詞ます形＋直す | 間違えたので書き直します。 | まちがえたのでかきなおします。 | 寫錯了所以重寫。
～合う |  | 「互相～」 | 動詞ます形＋合う | 困ったときは助け合いましょう。 | こまったときはたすけあいましょう。 | 有困難時互相幫忙吧。
～込む |  | 「～進去／深入～」 | 動詞ます形＋込む | 電車に駆け込むのは危ないです。 | でんしゃにかけこむのはあぶないです。 | 衝進電車很危險。
～がち |  | 「容易～、常常～」（多為負面） | 動詞ます形／名詞＋がち | 冬は風邪をひきがちです。 | ふゆはかぜをひきがちです。 | 冬天容易感冒。
～っぽい |  | 「有點～的樣子」 | 名詞／動詞ます形＋っぽい | この味は水っぽいです。 | このあじはみずっぽいです。 | 這個味道有點水水的。
～こと（名詞化） |  | 把句子變成名詞「～這件事」 | 動詞辭書形＋こと | 毎日運動することが大切です。 | まいにちうんどうすることがたいせつです。 | 每天運動很重要。
疑問詞＋か |  | 「間接疑問（不知道～、決定了～）」 | 疑問詞＋普通形＋か | 何を買うか決めました。 | なにをかうかきめました。 | 決定好要買什麼了。
自動詞・他動詞 | じどうし・たどうし | 「成對的自他動詞（開く／開ける）」 | 自動詞＋が／他動詞＋を | ドアが開いた。私はドアを開けた。 | ドアがあいた。わたしはドアをあけた。 | 門開了。我把門打開了。
～なくて |  | 「因為不～（表原因）」 | 動詞ない形（去い）＋くて | 意味が分からなくて困った。 | いみがわからなくてこまった。 | 因為不懂意思而感到困擾。
～なければ |  | 「如果不～的話」 | 動詞ない形（去い）＋ければ | 急がなければ間に合わない。 | いそがなければまにあわない。 | 不快點就趕不上。
使役受身形 | しえきうけみけい | 「被迫做～（～させられる）」 | 動詞使役受身形 | 部長にお酒を飲まされた。 | ぶちょうにおさけをのまされた。 | 被部長逼著喝了酒。
命令形 | めいれいけい | 「命令語氣（行け・見ろ）」 | 動詞命令形 | 早く行け。 | はやくいけ。 | 快去。
禁止形 | きんしけい | 「禁止（動詞辭書形＋な）」 | 動詞辭書形＋な | ここに入るな。 | ここにはいるな。 | 不准進入這裡。
～など |  | 「～等等」 | 名詞＋など | 果物などを買いました。 | くだものなどをかいました。 | 買了水果之類的東西。
～に似ている | ～ににている | 「和～相似」 | 名詞＋に似ている | 弟は父に似ている。 | おとうとはちちににている。 | 弟弟長得像父親。
～てくださいませんか |  | 「能否請您～（更禮貌的請託）」 | 動詞て形＋くださいませんか | もう一度説明してくださいませんか。 | もういちどせつめいしてくださいませんか。 | 能否請您再說明一次？
～させてもらう |  | 「請允許我～」 | 動詞使役形＋てもらう | 明日休ませてもらいます。 | あしたやすませてもらいます。 | 明天請讓我休假。
～てさしあげる |  | 「為長輩做～（謙讓）」 | 動詞て形＋さしあげる | 社長に道を教えてさしあげた。 | しゃちょうにみちをおしえてさしあげた。 | 為社長指了路。
お目にかかる | おめにかかる | 「拜見、見面（謙讓語）」 | 人に＋お目にかかる | 先生にお目にかかりたいです。 | せんせいにおめにかかりたいです。 | 想拜見老師。
存じる・存じ上げる | ぞんじる・ぞんじあげる | 「知道・認識（謙讓語）」 | 名詞を＋存じております | お名前は存じております。 | おなまえはぞんじております。 | 久仰大名。
伺う | うかがう | 「拜訪・請教（謙讓語）」 | 場所へ／人に＋伺う | 明日お宅へ伺います。 | あしたおたくへうかがいます。 | 明天到府上拜訪。
おる |  | 「在（いる的謙讓語）」 | 人＋がおる | 父は今家におります。 | ちちはいまいえにおります。 | 父親現在在家。
くださる |  | 「給我（くれる的尊敬語）」 | 人が＋くださる | 先生が本をくださった。 | せんせいがほんをくださった。 | 老師給了我書。
～てよかった |  | 「幸好～、～真是太好了」 | 動詞て形＋よかった | 早く来てよかった。 | はやくきてよかった。 | 幸好早點來了。
～ばよかった |  | 「早知道就～（後悔）」 | 動詞ば形＋よかった | もっと勉強すればよかった。 | もっとべんきょうすればよかった。 | 早知道就多唸點書了。
～たらいい |  | 「～就好了（建議）」 | 動詞た形＋らいい | 医者に相談したらいいですよ。 | いしゃにそうだんしたらいいですよ。 | 找醫生商量就好了。
～はずだった |  | 「本來應該～（結果沒發生）」 | 動詞辭書形＋はずだった | 今日着くはずだった荷物が来ない。 | きょうつくはずだったにもつがこない。 | 本來今天該到的行李沒來。
～そうにない |  | 「看起來不會～」 | 動詞ます形＋そうにない | 雨はやみそうにない。 | あめはやみそうにない。 | 雨看起來不會停。
～ないでほしい |  | 「希望你不要～」 | 動詞ない形＋でほしい | ここでは騒がないでほしい。 | ここではさわがないでほしい。 | 希望你別在這裡吵鬧。
～のは～だ |  | 「強調句型（～的是～）」 | 普通形＋のは＋名詞＋だ | 私が生まれたのは京都だ。 | わたしがうまれたのはきょうとだ。 | 我出生的地方是京都。
～のを |  | 「把動詞子句名詞化再接を」 | 動詞辭書形＋のを | 窓を閉めるのを忘れた。 | まどをしめるのをわすれた。 | 忘了關窗戶。
～ということ |  | 「～這件事（子句名詞化）」 | 普通形＋ということ | 彼が来ないということを聞いた。 | かれがこないということをきいた。 | 聽說了他不來這件事。
～てもかまわない |  | 「～也沒關係」 | 動詞て形＋もかまわない | 写真を撮ってもかまいませんか。 | しゃしんをとってもかまいませんか。 | 可以拍照嗎？
～必要がある | ～ひつようがある | 「有必要～」 | 動詞辭書形＋必要がある | 予約する必要がありますか。 | よやくするひつようがありますか。 | 需要預約嗎？
