# JLPT N3 單字   格式： 漢字 | 假名 | 中文釋義 | 詞性 | 例句 | 例句假名 | 例句中譯

# --- 名詞 ---
影響 | えいきょう | 影響 | 名詞 | 天気は気分に影響します。 | てんきはきぶんにえいきょうします。 | 天氣會影響心情。
示す | しめす | 指出、顯示 | 動詞 | データがはっきりと示しています。 | データがはっきりとしめしています。 | 數據清楚地顯示著。
伝える | つたえる | 傳達 | 動詞 | 先生によろしくお伝えください。 | せんせいによろしくおつたえください。 | 請代我向老師問好。
述べる | のべる | 陳述、敘述 | 動詞 | 自分の意見を述べます。 | じぶんのいけんをのべます。 | 陳述自己的意見。
比較する | ひかくする | 比較 | 動詞 | 二つの案を比較します。 | ふたつのあんをひかくします。 | 比較兩個方案。
判断する | はんだんする | 判斷 | 動詞 | 状況を見て判断します。 | じょうきょうをみてはんだんします。 | 看情況判斷。
決定する | けっていする | 決定 | 動詞 | 会議で日程を決定しました。 | かいぎでにっていをけっていしました。 | 會議上決定了日程。
実行する | じっこうする | 執行、實行 | 動詞 | 計画を実行に移します。 | けいかくをじっこうにうつします。 | 把計畫付諸實行。
解決する | かいけつする | 解決 | 動詞 | 問題は無事に解決しました。 | もんだいはぶじにかいけつしました。 | 問題順利解決了。
成功する | せいこうする | 成功 | 動詞 | 実験に成功しました。 | じっけんにせいこうしました。 | 實驗成功了。
失敗する | しっぱいする | 失敗 | 動詞 | 何度も失敗しましたが、諦めません。 | なんどもしっぱいしましたが、あきらめません。 | 失敗了很多次，但不放棄。
諦める | あきらめる | 放棄 | 動詞 | 夢を諦めたくないです。 | ゆめをあきらめたくないです。 | 不想放棄夢想。
努力する | どりょくする | 努力 | 動詞 | 目標に向かって努力します。 | もくひょうにむかってどりょくします。 | 朝目標努力。
我慢する | がまんする | 忍耐 | 動詞 | 痛みを我慢しました。 | いたみをがまんしました。 | 忍住了疼痛。
遠慮する | えんりょする | 客氣、謝絕 | 動詞 | どうぞ遠慮しないでください。 | どうぞえんりょしないでください。 | 請別客氣。
緊張する | きんちょうする | 緊張 | 動詞 | 面接の前は緊張します。 | めんせつのまえはきんちょうします。 | 面試前會緊張。
感動する | かんどうする | 感動 | 動詞 | その映画に感動しました。 | そのえいがにかんどうしました。 | 被那部電影感動了。
迷う | まよう | 迷路、猶豫 | 動詞 | どちらを買うか迷っています。 | どちらをかうかまよっています。 | 在猶豫要買哪個。
悩む | なやむ | 煩惱 | 動詞 | 進路のことで悩んでいます。 | しんろのことでなやんでいます。 | 為前途的事煩惱。
困る | こまる | 為難、困擾 | 動詞 | 道が分からなくて困りました。 | みちがわからなくてこまりました。 | 不知道路很困擾。
助ける | たすける | 幫助、救 | 動詞 | 困っている人を助けます。 | こまっているひとをたすけます。 | 幫助有困難的人。
守る | まもる | 遵守、保護 | 動詞 | 約束を守ります。 | やくそくをまもります。 | 遵守約定。
破る | やぶる | 撕破、違反 | 動詞 | ルールを破ってはいけません。 | ルールをやぶってはいけません。 | 不可以違反規則。
避ける | さける | 避開 | 動詞 | 混雑を避けて早く出ます。 | こんざつをさけてはやくでます。 | 避開擁擠提早出門。
防ぐ | ふせぐ | 防止 | 動詞 | 事故を防ぐために注意します。 | じこをふせぐためにちゅういします。 | 為防止事故而注意。
確認する | かくにんする | 確認 | 動詞 | もう一度予約を確認します。 | もういちどよやくをかくにんします。 | 再確認一次預約。
報告する | ほうこくする | 報告 | 動詞 | 結果を上司に報告します。 | けっかをじょうしにほうこくします。 | 向上司報告結果。
提案する | ていあんする | 提案、提議 | 動詞 | 新しい方法を提案しました。 | あたらしいほうほうをていあんしました。 | 提議了新方法。
賛成する | さんせいする | 贊成 | 動詞 | その意見に賛成します。 | そのいけんにさんせいします。 | 贊成那個意見。
反対する | はんたいする | 反對 | 動詞 | 計画に反対する人もいます。 | けいかくにはんたいするひともいます。 | 也有人反對計畫。
増える | ふえる | 增加 | 動詞 | 貯金が少しずつ増えています。 | ちょきんがすこしずつふえています。 | 存款一點點增加。
減る | へる | 減少 | 動詞 | 体重が三キロ減りました。 | たいじゅうがさんキロへりました。 | 體重減了三公斤。
変わる | かわる | 改變（自動） | 動詞 | 彼は昔と全然変わっていません。 | かれはむかしとぜんぜんかわっていません。 | 他和以前完全沒變。
変える | かえる | 改變（他動） | 動詞 | 予定を変えました。 | よていをかえました。 | 改了行程。
過ぎる | すぎる | 經過、超過 | 動詞 | もう十時を過ぎました。 | もうじゅうじをすぎました。 | 已經過了十點。
超える | こえる | 超過、超越 | 動詞 | 参加者は百人を超えました。 | さんかしゃはひゃくにんをこえました。 | 參加者超過一百人。

# --- 形容詞・形容動詞 ---
確実 | かくじつ | 確實 | 形容動詞（な形） | 確実な情報ではありません。 | かくじつなじょうほうではありません。 | 不是確切的資訊。
明らか | あきらか | 明顯 | 形容動詞（な形） | 原因は明らかです。 | げんいんはあきらかです。 | 原因很明顯。
適当 | てきとう | 適當；隨便 | 形容動詞（な形） | 適当な大きさに切ってください。 | てきとうなおおきさにきってください。 | 請切成適當的大小。
正確 | せいかく | 正確 | 形容動詞（な形） | 正確な時間を教えてください。 | せいかくなじかんをおしえてください。 | 請告訴我準確的時間。
豊か | ゆたか | 豐富 | 形容動詞（な形） | 自然が豊かな土地です。 | しぜんがゆたかなとちです。 | 是自然豐富的土地。
盛ん | さかん | 興盛、盛行 | 形容動詞（な形） | この地域は農業が盛んです。 | このちいきはのうぎょうがさかんです。 | 這地區農業興盛。
苦手 | にがて | 不擅長、怕 | 形容動詞（な形） | 人前で話すのが苦手です。 | ひとまえではなすのがにがてです。 | 不擅長在人前說話。
得意 | とくい | 拿手 | 形容動詞（な形） | 料理が得意です。 | りょうりがとくいです。 | 擅長做菜。
派手 | はで | 華麗、花俏 | 形容動詞（な形） | 派手な色の服が好きです。 | はでないろのふくがすきです。 | 喜歡花俏顏色的衣服。
地味 | じみ | 樸素 | 形容動詞（な形） | 地味だが上品なデザインです。 | じみだがじょうひんなデザインです。 | 樸素卻高雅的設計。
面倒 | めんどう | 麻煩 | 形容動詞（な形） | 手続きが面倒です。 | てつづきがめんどうです。 | 手續很麻煩。
勝手 | かって | 隨便、任意 | 形容動詞（な形） | 勝手に決めないでください。 | かってにきめないでください。 | 請不要擅自決定。
うるさい | うるさい | 吵鬧的、囉嗦的 | 形容詞（い形） | 工事の音がうるさいです。 | こうじのおとがうるさいです。 | 施工的聲音很吵。
おかしい | おかしい | 奇怪的、好笑的 | 形容詞（い形） | 様子が少しおかしいです。 | ようすがすこしおかしいです。 | 情況有點奇怪。
懐かしい | なつかしい | 懷念的 | 形容詞（い形） | 懐かしい音楽ですね。 | なつかしいおんがくですね。 | 好懷念的音樂。
もったいない | もったいない | 可惜、浪費 | 形容詞（い形） | 捨てるのはもったいないです。 | すてるのはもったいないです。 | 丟掉太可惜了。
情けない | なさけない | 可悲的、丟臉的 | 形容詞（い形） | こんなミスをして情けないです。 | こんなミスをしてなさけないです。 | 犯這種錯真丟臉。

# --- 副詞 ---
実際に | じっさいに | 實際上 | 副詞 | 実際に見てから決めます。 | じっさいにみてからきめます。 | 實際看過再決定。
主に | おもに | 主要 | 副詞 | 主に週末に運動します。 | おもにしゅうまつにうんどうします。 | 主要在週末運動。
案外 | あんがい | 意外地 | 副詞 | 試験は案外簡単でした。 | しけんはあんがいかんたんでした。 | 考試意外地簡單。
偶然 | ぐうぜん | 偶然 | 名詞・副詞 | 駅で偶然先生に会いました。 | えきでぐうぜんせんせいにあいました。 | 在車站偶然遇到老師。
さっき | さっき | 剛才 | 副詞 | さっき電話がありました。 | さっきでんわがありました。 | 剛才有通電話。
そろそろ | そろそろ | 差不多該… | 副詞 | そろそろ帰りましょう。 | そろそろかえりましょう。 | 差不多該回去了。
めったに | めったに | （後接否定）很少 | 副詞 | 彼はめったに怒りません。 | かれはめったにおこりません。 | 他很少生氣。
たまたま | たまたま | 碰巧 | 副詞 | たまたま席が空いていました。 | たまたませきがあいていました。 | 碰巧有空位。
できるだけ | できるだけ | 盡量 | 副詞 | できるだけ早く来てください。 | できるだけはやくきてください。 | 請盡量早點來。
そのまま | そのまま | 就那樣、保持原狀 | 副詞 | そのままにしておいてください。 | そのままにしておいてください。 | 請保持原樣別動。
とうとう | とうとう | 終於、到頭來 | 副詞 | とうとう最終日になりました。 | とうとうさいしゅうびになりました。 | 終於到了最後一天。

# === 增補批次 1 ===
# --- 名詞 ---
締め切り日 | しめきりび | 截止日 | 名詞 | 応募の締め切り日は月末です。 | おうぼのしめきりびはげつまつです。 | 報名截止日是月底。
締め切り時刻 | しめきりじこく | 截止時刻 | 名詞 | 締め切り時刻は午後五時です。 | しめきりじこくはごごごじです。 | 截止時刻是下午五點。
目上 | めうえ | 長輩、上司 | 名詞 | 目上の人には敬語を使います。 | めうえのひとにはけいごをつかいます。 | 對長輩要用敬語。
目下 | めした | 晚輩、部下 | 名詞 | 目下の人にも礼儀を守ります。 | めしたのひとにもれいぎをまもります。 | 對晚輩也要守禮。
知り合い | しりあい | 認識的人、熟人 | 名詞 | 彼はただの知り合いです。 | かれはただのしりあいです。 | 他只是個熟人而已。
恋人 | こいびと | 戀人 | 名詞 | 恋人と映画を見に行きました。 | こいびととえいがをみにいきました。 | 和戀人去看了電影。
仲 | なか | 關係、交情 | 名詞 | 二人は仲がいいです。 | ふたりはなかがいいです。 | 兩人感情很好。
喧嘩 | けんか | 吵架、打架 | 名詞 | つまらないことで喧嘩しました。 | つまらないことでけんかしました。 | 為了小事吵了架。
仲直り | なかなおり | 和好 | 名詞 | すぐに仲直りしました。 | すぐになかなおりしました。 | 很快就和好了。
悪口 | わるぐち | 壞話 | 名詞 | 人の悪口を言うのはよくないです。 | ひとのわるぐちをいうのはよくないです。 | 說別人壞話不好。
冗談 | じょうだん | 玩笑 | 名詞 | 今のは冗談です。 | いまのはじょうだんです。 | 剛才那是開玩笑的。
嘘 | うそ | 謊言 | 名詞 | 嘘をつかないでください。 | うそをつかないでください。 | 請不要說謊。
秘密 | ひみつ | 秘密 | 名詞 | これは二人だけの秘密です。 | これはふたりだけのひみつです。 | 這是我們兩人的秘密。
噂 | うわさ | 傳聞、謠言 | 名詞 | 噂はあてになりません。 | うわさはあてになりません。 | 傳聞不可信。
話題 | わだい | 話題 | 名詞 | その映画は今話題になっています。 | そのえいがはいまわだいになっています。 | 那部電影現在成了話題。
内容 | ないよう | 內容 | 名詞 | 会議の内容をまとめます。 | かいぎのないようをまとめます。 | 整理會議的內容。
意味 | いみ | 意思、意義 | 名詞 | この言葉の意味を教えてください。 | このことばのいみをおしえてください。 | 請告訴我這個詞的意思。
表現 | ひょうげん | 表達、說法 | 名詞 | もっと丁寧な表現を使いましょう。 | もっとていねいなひょうげんをつかいましょう。 | 用更客氣的說法吧。
発音 | はつおん | 發音 | 名詞 | 発音を直してもらいました。 | はつおんをなおしてもらいました。 | 請人幫我糾正發音。
会話 | かいわ | 會話 | 名詞 | 毎日日本語の会話を練習します。 | まいにちにほんごのかいわをれんしゅうします。 | 每天練習日語會話。
文章 | ぶんしょう | 文章 | 名詞 | 短い文章を書く練習をします。 | みじかいぶんしょうをかくれんしゅうをします。 | 練習寫短文。
文字 | もじ | 文字 | 名詞 | この文字は小さくて読めません。 | このもじはちいさくてよめません。 | 這個字太小看不清。
翻訳者 | ほんやくしゃ | 譯者 | 名詞 | 彼は有名な翻訳者です。 | かれはゆうめいなほんやくしゃです。 | 他是有名的譯者。
筆者 | ひっしゃ | 作者、筆者 | 名詞 | 筆者の意見に賛成です。 | ひっしゃのいけんにさんせいです。 | 我贊成作者的意見。
読者 | どくしゃ | 讀者 | 名詞 | 読者からの手紙が届きました。 | どくしゃからのてがみがとどきました。 | 收到了讀者的來信。
観客 | かんきゃく | 觀眾 | 名詞 | 会場は観客でいっぱいでした。 | かいじょうはかんきゃくでいっぱいでした。 | 會場擠滿了觀眾。
専門家 | せんもんか | 專家 | 名詞 | 専門家の意見を聞きました。 | せんもんかのいけんをききました。 | 聽取了專家的意見。
政府 | せいふ | 政府 | 名詞 | 政府が新しい政策を発表しました。 | せいふがあたらしいせいさくをはっぴょうしました。 | 政府發表了新政策。
政治 | せいじ | 政治 | 名詞 | 若者の政治への関心が高まっています。 | わかもののせいじへのかんしんがたかまっています。 | 年輕人對政治的關心提高了。
経済 | けいざい | 經濟 | 名詞 | 経済のニュースを毎日チェックします。 | けいざいのニュースをまいにちチェックします。 | 每天看經濟新聞。
法律 | ほうりつ | 法律 | 名詞 | 法律を守るのは当然です。 | ほうりつをまもるのはとうぜんです。 | 遵守法律是理所當然的。
選挙 | せんきょ | 選舉 | 名詞 | 来月、市長の選挙があります。 | らいげつ、しちょうのせんきょがあります。 | 下個月有市長選舉。
戦争 | せんそう | 戰爭 | 名詞 | 戦争のない世界を願います。 | せんそうのないせかいをねがいます。 | 期盼沒有戰爭的世界。
平和 | へいわ | 和平 | 名詞 | 平和はみんなの願いです。 | へいわはみんなのねがいです。 | 和平是大家的願望。
自然 | しぜん | 自然 | 名詞 | この地域は自然が豊かです。 | このちいきはしぜんがゆたかです。 | 這地區自然資源豐富。
環境 | かんきょう | 環境 | 名詞 | 環境を守るために努力します。 | かんきょうをまもるためにどりょくします。 | 為保護環境而努力。
資源 | しげん | 資源 | 名詞 | 資源を大切に使いましょう。 | しげんをたいせつにつかいましょう。 | 珍惜使用資源吧。
エネルギー | エネルギー | 能源、精力 | 名詞 | 太陽のエネルギーを利用します。 | たいようのエネルギーをりようします。 | 利用太陽能。
科学 | かがく | 科學 | 名詞 | 科学の進歩は速いです。 | かがくのしんぽははやいです。 | 科學進步很快。
技術 | ぎじゅつ | 技術 | 名詞 | 日本の技術は世界的に有名です。 | にほんのぎじゅつはせかいてきにゆうめいです。 | 日本的技術舉世聞名。
機能 | きのう | 功能 | 名詞 | このアプリには便利な機能があります。 | このアプリにはべんりなきのうがあります。 | 這個 App 有方便的功能。
道具箱 | どうぐばこ | 工具箱 | 名詞 | 道具箱からドライバーを出します。 | どうぐばこからドライバーをだします。 | 從工具箱拿出螺絲起子。
製品 | せいひん | 產品 | 名詞 | この会社の製品は品質がいいです。 | このかいしゃのせいひんはひんしつがいいです。 | 這家公司的產品品質好。
商品 | しょうひん | 商品 | 名詞 | 新商品が来週発売されます。 | しんしょうひんがらいしゅうはつばいされます。 | 新商品下週開賣。
広告 | こうこく | 廣告 | 名詞 | 電車の中で広告を見ました。 | でんしゃのなかでこうこくをみました。 | 在電車上看到廣告。
宣伝 | せんでん | 宣傳 | 名詞 | SNSで新しい店を宣伝します。 | エスエヌエスであたらしいみせをせんでんします。 | 用社群媒體宣傳新店。
値上げ | ねあげ | 漲價 | 名詞 | 来月から電気代が値上げされます。 | らいげつからでんきだいがねあげされます。 | 下個月起電費要漲。
値下げ | ねさげ | 降價 | 名詞 | セールで大幅な値下げがありました。 | セールでおおはばなねさげがありました。 | 特賣時大幅降價。
割引 | わりびき | 折扣 | 名詞 | 学生は割引があります。 | がくせいはわりびきがあります。 | 學生有折扣。
現金 | げんきん | 現金 | 名詞 | 現金で払いますか、カードで払いますか。 | げんきんではらいますか、カードではらいますか。 | 付現還是刷卡？
税金 | ぜいきん | 稅金 | 名詞 | 税金は期限までに払います。 | ぜいきんはきげんまでにはらいます。 | 稅金會在期限前繳。
給与 | きゅうよ | 薪資 | 名詞 | 給与は月末に振り込まれます。 | きゅうよはげつまつにふりこまれます。 | 薪水月底匯入。
預金 | よきん | 存款 | 名詞 | 銀行に少し預金があります。 | ぎんこうにすこしよきんがあります。 | 銀行裡有一點存款。

# --- 名詞：狀態・時間・程度 ---
最終 | さいしゅう | 最終、最後 | 名詞 | 最終の電車に間に合いました。 | さいしゅうのでんしゃにまにあいました。 | 趕上了末班車。
現在 | げんざい | 現在 | 名詞 | 現在、準備を進めています。 | げんざい、じゅんびをすすめています。 | 目前正在進行準備。
過去 | かこ | 過去 | 名詞 | 過去のことは忘れましょう。 | かこのことはわすれましょう。 | 過去的事就忘了吧。
未来 | みらい | 未來 | 名詞 | 明るい未来を信じています。 | あかるいみらいをしんじています。 | 相信光明的未來。
今後 | こんご | 今後 | 名詞 | 今後の予定を確認します。 | こんごのよていをかくにんします。 | 確認今後的行程。
当時 | とうじ | 當時 | 名詞 | 当時、私はまだ学生でした。 | とうじ、わたしはまだがくせいでした。 | 當時我還是學生。
最初のうち | さいしょのうち | 起初 | 名詞 | 最初のうちは緊張していました。 | さいしょのうちはきんちょうしていました。 | 起初很緊張。
一瞬 | いっしゅん | 一瞬間 | 名詞 | 一瞬、時間が止まったようでした。 | いっしゅん、じかんがとまったようでした。 | 一瞬間彷彿時間停止了。
瞬間 | しゅんかん | 瞬間 | 名詞 | ドアが開いた瞬間、猫が飛び出しました。 | ドアがひらいたしゅんかん、ねこがとびだしました。 | 門一開，貓就衝了出去。
期間 | きかん | 期間 | 名詞 | セールの期間は一週間です。 | セールのきかんはいっしゅうかんです。 | 特賣期間為一週。
程度 | ていど | 程度 | 名詞 | けがの程度は軽いです。 | けがのていどはかるいです。 | 傷勢程度輕微。
以上 | いじょう | 以上、上述 | 名詞 | 説明は以上です。 | せつめいはいじょうです。 | 說明到此為止。
最大 | さいだい | 最大 | 名詞 | これが最大の問題です。 | これがさいだいのもんだいです。 | 這是最大的問題。
最小 | さいしょう | 最小 | 名詞 | 被害を最小に抑えます。 | ひがいをさいしょうにおさえます。 | 把損害壓到最小。
平均 | へいきん | 平均 | 名詞 | クラスの平均点は七十点でした。 | クラスのへいきんてんはななじゅってんでした。 | 班上平均分是七十分。
合計 | ごうけい | 合計 | 名詞 | 合計で三千円になります。 | ごうけいでさんぜんえんになります。 | 合計三千日圓。
半分 | はんぶん | 一半 | 名詞 | ケーキを半分に切ります。 | ケーキをはんぶんにきります。 | 把蛋糕切成一半。
両方 | りょうほう | 兩方、雙方 | 名詞 | 両方の意見を聞きます。 | りょうほうのいけんをききます。 | 聽取雙方的意見。
片方 | かたほう | 一方、單邊 | 名詞 | 手袋の片方をなくしました。 | てぶくろのかたほうをなくしました。 | 弄丟了一隻手套。

# --- 動詞 ---
占う | うらなう | 占卜 | 動詞 | 星占いで今日の運勢を占います。 | ほしうらないできょうのうんせいをうらないます。 | 用星座占卜今天的運勢。
祝う | いわう | 慶祝 | 動詞 | 家族で祖母の誕生日を祝いました。 | かぞくでそぼのたんじょうびをいわいました。 | 全家為奶奶慶生。
感じる | かんじる | 感覺 | 動詞 | 責任の重さを感じています。 | せきにんのおもさをかんじています。 | 感受到責任的重大。
考え直す | かんがえなおす | 重新考慮 | 動詞 | もう一度考え直してみます。 | もういちどかんがえなおしてみます。 | 我會再重新考慮一次。
思いつく | おもいつく | 想到、想出 | 動詞 | いいアイデアを思いつきました。 | いいアイデアをおもいつきました。 | 想到了好點子。
気にする | きにする | 在意、介意 | 動詞 | 小さいことを気にしすぎです。 | ちいさいことをきにしすぎです。 | 太在意小事了。
気になる | きになる | 好奇、掛心 | 動詞 | 結果が気になって眠れません。 | けっかがきになってねむれません。 | 掛心結果睡不著。
役立つ | やくだつ | 有幫助 | 動詞 | この経験はきっと将来役立ちます。 | このけいけんはきっとしょうらいやくだちます。 | 這個經驗將來一定有幫助。
間違える | まちがえる | 弄錯 | 動詞 | 電車を間違えて反対方向に乗りました。 | でんしゃをまちがえてはんたいほうこうにのりました。 | 搭錯電車坐反方向了。
訂正する | ていせいする | 訂正 | 動詞 | 資料の数字を訂正しました。 | しりょうのすうじをていせいしました。 | 訂正了資料上的數字。
勘違いする | かんちがいする | 誤會、會錯意 | 動詞 | 待ち合わせの時間を勘違いしていました。 | まちあわせのじかんをかんちがいしていました。 | 我把碰面時間記錯了。
納得する | なっとくする | 理解、接受 | 動詞 | 説明を聞いて納得しました。 | せつめいをきいてなっとくしました。 | 聽了說明就理解了。
理解する | りかいする | 理解 | 動詞 | 相手の立場を理解しようとします。 | あいてのたちばをりかいしようとします。 | 試著理解對方的立場。
想像する | そうぞうする | 想像 | 動詞 | 将来の生活を想像してみます。 | しょうらいのせいかつをそうぞうしてみます。 | 想像一下未來的生活。
期待する | きたいする | 期待 | 動詞 | 新しいメンバーに期待しています。 | あたらしいメンバーにきたいしています。 | 對新成員很期待。
発見する | はっけんする | 發現 | 動詞 | 研究で新しい事実を発見しました。 | けんきゅうであたらしいじじつをはっけんしました。 | 在研究中發現了新事實。
発明する | はつめいする | 發明 | 動詞 | 便利な道具を発明しました。 | べんりなどうぐをはつめいしました。 | 發明了方便的工具。
調査する | ちょうさする | 調查 | 動詞 | 事故の原因を調査しています。 | じこのげんいんをちょうさしています。 | 正在調查事故原因。
記入する | きにゅうする | 填寫 | 動詞 | この用紙に名前を記入してください。 | このようしになまえをきにゅうしてください。 | 請在這張紙上填寫姓名。
